Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-07-16,7.37
30-07-16,6.84
29-07-16,8.92
28-07-16,12.16
27-07-16,13.15
26-07-16,15.85
25-07-16,18.19
24-07-16,12.55
23-07-16,14.23
22-07-16,12.62
21-07-16,12.26
20-07-16,6.13
19-07-16,9.98
18-07-16,7.36
17-07-16,8.55
16-07-16,9.02
15-07-16,4.85
14-07-16,6.81
13-07-16,7.30
12-07-16,7.98
11-07-16,10.36
10-07-16,9.12
09-07-16,8.59
08-07-16,8.78
07-07-16,5.26
06-07-16,4.37
05-07-16,8.29
04-07-16,6.59
03-07-16,3.48
02-07-16,6.24
01-07-16,9.73

