Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-07-16,8.84
30-07-16,7.91
29-07-16,9.35
28-07-16,12.47
27-07-16,14.23
26-07-16,18.98
25-07-16,18.41
24-07-16,14.36
23-07-16,12.24
22-07-16,13.73
21-07-16,11.02
20-07-16,7.17
19-07-16,7.37
18-07-16,6.47
17-07-16,8.87
16-07-16,8.45
15-07-16,4.60
14-07-16,5.89
13-07-16,7.28
12-07-16,8.58
11-07-16,9.11
10-07-16,9.00
09-07-16,7.86
08-07-16,8.56
07-07-16,7.44
06-07-16,4.33
05-07-16,7.24
04-07-16,5.60
03-07-16,4.05
02-07-16,6.99
01-07-16,7.25

