Datum Zeit,Leipzig-Mitte PM10_HVS
,µg/m³
31-05-18,
30-05-18,
29-05-18,
28-05-18,
27-05-18,
26-05-18,
25-05-18,
24-05-18,
23-05-18,
22-05-18,
21-05-18,
20-05-18,
19-05-18,
18-05-18,
17-05-18,34.10
16-05-18,25.39
15-05-18,24.64
14-05-18,29.22
13-05-18,21.57
12-05-18,21.88
11-05-18,20.53
10-05-18,24.94
09-05-18,27.51
08-05-18,28.70
07-05-18,22.40
06-05-18,17.30
05-05-18,21.48
04-05-18,16.53
03-05-18,21.50
02-05-18,26.28
01-05-18,12.06

