Datum,Zeit,BEN,NO,NO2,O3,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-09-01,01:00,,1,11,39,0.5
2017-09-01,02:00,,1,9,41,1.0
2017-09-01,03:00,,1,8,42,0.5
2017-09-01,04:00,,1,8,42,1.0
2017-09-01,05:00,,1,11,36,0.5
2017-09-01,06:00,,1,20,28,0.5
2017-09-01,07:00,,1,27,25,0.5
2017-09-01,08:00,,3,29,22,0.5
2017-09-01,09:00,,2,22,28,0.5
2017-09-01,10:00,,3,21,28,0.5
2017-09-01,11:00,,3,23,30,0.5
2017-09-01,12:00,,3,23,26,0.5
2017-09-01,13:00,,3,20,27,0.5
2017-09-01,14:00,,3,16,35,0.5
2017-09-01,15:00,,2,17,39,0.5
2017-09-01,16:00,,2,19,40,0.5
