Datum Zeit,Leipzig-West SO2
,µg/m³
01-03-01 00:00,
28-02-01 23:00,15.4
28-02-01 22:00,14.3
28-02-01 21:00,13.8
28-02-01 20:00,13.1
28-02-01 19:00,13.0
28-02-01 18:00,14.2
28-02-01 17:00,14.8
28-02-01 16:00,17.7
28-02-01 15:00,17.8
28-02-01 14:00,17.4
28-02-01 13:00,17.8
28-02-01 12:00,20.3
28-02-01 11:00,18.3
28-02-01 10:00,18.1
28-02-01 09:00,19.7
28-02-01 08:00,13.8
28-02-01 07:00,13.6
28-02-01 06:00,6.9
28-02-01 05:00,5.6
28-02-01 04:00,6.0
28-02-01 03:00,7.2
28-02-01 02:00,9.2
28-02-01 01:00,10.8
28-02-01 00:00,
27-02-01 23:00,13.6
27-02-01 22:00,13.9
27-02-01 21:00,15.3
27-02-01 20:00,14.1
27-02-01 19:00,10.0
27-02-01 18:00,9.0
27-02-01 17:00,10.3
27-02-01 16:00,6.6
27-02-01 15:00,10.4
27-02-01 14:00,19.8
27-02-01 13:00,10.9
27-02-01 12:00,6.9
27-02-01 11:00,7.4
27-02-01 10:00,11.5
27-02-01 09:00,9.5
27-02-01 08:00,8.2
27-02-01 07:00,7.3
27-02-01 06:00,4.7
27-02-01 05:00,4.9
27-02-01 04:00,4.7
27-02-01 03:00,4.3
27-02-01 02:00,2.7
27-02-01 01:00,2.8
27-02-01 00:00,
26-02-01 23:00,2.9
26-02-01 22:00,3.7
26-02-01 21:00,5.7
26-02-01 20:00,6.6
26-02-01 19:00,7.9
26-02-01 18:00,5.3
26-02-01 17:00,6.9
26-02-01 16:00,3.1
26-02-01 15:00,2.8
26-02-01 14:00,8.5
26-02-01 13:00,7.3
26-02-01 12:00,7.1
26-02-01 11:00,3.9
26-02-01 10:00,3.9
26-02-01 09:00,3.4
26-02-01 08:00,3.5
26-02-01 07:00,3.6
26-02-01 06:00,3.5
26-02-01 05:00,2.3
26-02-01 04:00,2.8
26-02-01 03:00,2.8
26-02-01 02:00,2.2
26-02-01 01:00,
26-02-01 00:00,
25-02-01 23:00,5.4
25-02-01 22:00,5.8
25-02-01 21:00,6.2
25-02-01 20:00,
25-02-01 19:00,5.7
25-02-01 18:00,5.1
25-02-01 17:00,5.2
25-02-01 16:00,10.8
25-02-01 15:00,12.0
25-02-01 14:00,9.4
25-02-01 13:00,13.3
25-02-01 12:00,13.2
25-02-01 11:00,6.9
25-02-01 10:00,5.2
25-02-01 09:00,4.5
25-02-01 08:00,5.2
25-02-01 07:00,4.7
25-02-01 06:00,5.0
25-02-01 05:00,5.4
25-02-01 04:00,5.9
25-02-01 03:00,5.3
25-02-01 02:00,4.7
25-02-01 01:00,4.9
25-02-01 00:00,
24-02-01 23:00,6.3
24-02-01 22:00,6.0
24-02-01 21:00,3.7
24-02-01 20:00,
24-02-01 19:00,1.0
24-02-01 18:00,1.0
24-02-01 17:00,1.1
24-02-01 16:00,1.4
24-02-01 15:00,1.7
24-02-01 14:00,2.2
24-02-01 13:00,1.3
24-02-01 12:00,1.0
24-02-01 11:00,1.0
24-02-01 10:00,1.1
24-02-01 09:00,1.0
24-02-01 08:00,1.1
24-02-01 07:00,1.1
24-02-01 06:00,1.0
24-02-01 05:00,1.1
24-02-01 04:00,1.1
24-02-01 03:00,1.1
24-02-01 02:00,1.2
24-02-01 01:00,1.0
24-02-01 00:00,
23-02-01 23:00,1.0
23-02-01 22:00,1.0
23-02-01 21:00,
23-02-01 20:00,
23-02-01 19:00,1.0
23-02-01 18:00,1.0
23-02-01 17:00,1.0
23-02-01 16:00,1.0
23-02-01 15:00,1.0
23-02-01 14:00,1.2
23-02-01 13:00,
23-02-01 12:00,1.2
23-02-01 11:00,1.0
23-02-01 10:00,1.1
23-02-01 09:00,1.0
23-02-01 08:00,1.3
23-02-01 07:00,1.4
23-02-01 06:00,1.0
23-02-01 05:00,1.0
23-02-01 04:00,1.0
23-02-01 03:00,1.0
23-02-01 02:00,1.0
23-02-01 01:00,1.0
23-02-01 00:00,
22-02-01 23:00,1.0
22-02-01 22:00,1.0
22-02-01 21:00,1.0
22-02-01 20:00,1.0
22-02-01 19:00,1.0
22-02-01 18:00,1.5
22-02-01 17:00,1.0
22-02-01 16:00,1.1
22-02-01 15:00,1.0
22-02-01 14:00,
22-02-01 13:00,1.2
22-02-01 12:00,1.3
22-02-01 11:00,1.3
22-02-01 10:00,1.0
22-02-01 09:00,1.0
22-02-01 08:00,1.0
22-02-01 07:00,1.0
22-02-01 06:00,1.0
22-02-01 05:00,1.0
22-02-01 04:00,1.0
22-02-01 03:00,1.4
22-02-01 02:00,1.3
22-02-01 01:00,1.0
22-02-01 00:00,
21-02-01 23:00,1.6
21-02-01 22:00,1.2
21-02-01 21:00,1.8
21-02-01 20:00,2.2
21-02-01 19:00,2.6
21-02-01 18:00,3.0
21-02-01 17:00,2.6
21-02-01 16:00,3.0
21-02-01 15:00,3.4
21-02-01 14:00,
21-02-01 13:00,4.4
21-02-01 12:00,6.1
21-02-01 11:00,5.8
21-02-01 10:00,5.7
