Datum Zeit,Klingenthal NO2
,µg/m³
01-03-01 00:00,37
28-02-01 23:00,
28-02-01 22:00,24
28-02-01 21:00,62
28-02-01 20:00,21
28-02-01 19:00,23
28-02-01 18:00,34
28-02-01 17:00,20
28-02-01 16:00,19
28-02-01 15:00,16
28-02-01 14:00,13
28-02-01 13:00,12
28-02-01 12:00,14
28-02-01 11:00,16
28-02-01 10:00,46
28-02-01 09:00,79
28-02-01 08:00,77
28-02-01 07:00,79
28-02-01 06:00,69
28-02-01 05:00,48
28-02-01 04:00,38
28-02-01 03:00,34
28-02-01 02:00,25
28-02-01 01:00,22
28-02-01 00:00,
27-02-01 23:00,14
27-02-01 22:00,18
27-02-01 21:00,28
27-02-01 20:00,38
27-02-01 19:00,41
27-02-01 18:00,15
27-02-01 17:00,12
27-02-01 16:00,11
27-02-01 15:00,12
27-02-01 14:00,10
27-02-01 13:00,11
27-02-01 12:00,15
27-02-01 11:00,22
27-02-01 10:00,28
27-02-01 09:00,28
27-02-01 08:00,22
27-02-01 07:00,21
27-02-01 06:00,35
27-02-01 05:00,22
27-02-01 04:00,17
27-02-01 03:00,24
27-02-01 02:00,47
27-02-01 01:00,58
27-02-01 00:00,
26-02-01 23:00,58
26-02-01 22:00,62
26-02-01 21:00,64
26-02-01 20:00,65
26-02-01 19:00,45
26-02-01 18:00,43
26-02-01 17:00,39
26-02-01 16:00,37
26-02-01 15:00,35
26-02-01 14:00,30
26-02-01 13:00,35
26-02-01 12:00,30
26-02-01 11:00,34
26-02-01 10:00,37
26-02-01 09:00,50
26-02-01 08:00,52
26-02-01 07:00,48
26-02-01 06:00,38
26-02-01 05:00,26
26-02-01 04:00,24
26-02-01 03:00,21
26-02-01 02:00,22
26-02-01 01:00,
26-02-01 00:00,20
25-02-01 23:00,35
25-02-01 22:00,31
25-02-01 21:00,20
25-02-01 20:00,33
25-02-01 19:00,26
25-02-01 18:00,33
25-02-01 17:00,23
25-02-01 16:00,14
25-02-01 15:00,13
25-02-01 14:00,12
25-02-01 13:00,12
25-02-01 12:00,18
25-02-01 11:00,25
25-02-01 10:00,24
25-02-01 09:00,32
25-02-01 08:00,37
25-02-01 07:00,32
25-02-01 06:00,32
25-02-01 05:00,30
25-02-01 04:00,29
25-02-01 03:00,32
25-02-01 02:00,29
25-02-01 01:00,
25-02-01 00:00,32
24-02-01 23:00,33
24-02-01 22:00,32
24-02-01 21:00,39
24-02-01 20:00,35
24-02-01 19:00,38
24-02-01 18:00,30
24-02-01 17:00,19
24-02-01 16:00,17
24-02-01 15:00,18
24-02-01 14:00,11
24-02-01 13:00,13
24-02-01 12:00,15
24-02-01 11:00,18
24-02-01 10:00,17
24-02-01 09:00,15
24-02-01 08:00,24
24-02-01 07:00,25
24-02-01 06:00,14
24-02-01 05:00,12
24-02-01 04:00,12
24-02-01 03:00,14
24-02-01 02:00,
24-02-01 01:00,11
24-02-01 00:00,10
23-02-01 23:00,11
23-02-01 22:00,10
23-02-01 21:00,14
23-02-01 20:00,15
23-02-01 19:00,19
23-02-01 18:00,26
23-02-01 17:00,22
23-02-01 16:00,25
23-02-01 15:00,22
23-02-01 14:00,18
23-02-01 13:00,18
23-02-01 12:00,25
23-02-01 11:00,32
23-02-01 10:00,24
23-02-01 09:00,26
23-02-01 08:00,21
23-02-01 07:00,25
23-02-01 06:00,20
23-02-01 05:00,10
23-02-01 04:00,8
23-02-01 03:00,9
23-02-01 02:00,
23-02-01 01:00,7
23-02-01 00:00,8
22-02-01 23:00,9
22-02-01 22:00,9
22-02-01 21:00,14
22-02-01 20:00,13
22-02-01 19:00,18
22-02-01 18:00,20
22-02-01 17:00,22
22-02-01 16:00,22
22-02-01 15:00,23
22-02-01 14:00,24
22-02-01 13:00,23
22-02-01 12:00,22
22-02-01 11:00,22
22-02-01 10:00,23
22-02-01 09:00,18
22-02-01 08:00,14
22-02-01 07:00,15
22-02-01 06:00,11
22-02-01 05:00,7
22-02-01 04:00,7
22-02-01 03:00,
22-02-01 02:00,7
22-02-01 01:00,9
22-02-01 00:00,10
21-02-01 23:00,12
21-02-01 22:00,16
21-02-01 21:00,19
21-02-01 20:00,27
21-02-01 19:00,35
21-02-01 18:00,42
21-02-01 17:00,40
21-02-01 16:00,37
21-02-01 15:00,35
21-02-01 14:00,31
21-02-01 13:00,30
21-02-01 12:00,31
21-02-01 11:00,28
21-02-01 10:00,28
21-02-01 09:00,26
21-02-01 08:00,26
21-02-01 07:00,25
21-02-01 06:00,21
21-02-01 05:00,14
21-02-01 04:00,12
21-02-01 03:00,
21-02-01 02:00,9
21-02-01 01:00,9
21-02-01 00:00,12
20-02-01 23:00,13
20-02-01 22:00,16
20-02-01 21:00,13
20-02-01 20:00,17
20-02-01 19:00,21
20-02-01 18:00,25
20-02-01 17:00,27
20-02-01 16:00,22
20-02-01 15:00,15
20-02-01 14:00,21
20-02-01 13:00,16
20-02-01 12:00,20
20-02-01 11:00,19
20-02-01 10:00,16
20-02-01 09:00,15
20-02-01 08:00,16
20-02-01 07:00,18
20-02-01 06:00,18
20-02-01 05:00,21
20-02-01 04:00,
20-02-01 03:00,19
20-02-01 02:00,20
20-02-01 01:00,20
20-02-01 00:00,21
19-02-01 23:00,25
19-02-01 22:00,28
19-02-01 21:00,30
19-02-01 20:00,26
19-02-01 19:00,23
19-02-01 18:00,29
19-02-01 17:00,32
19-02-01 16:00,34
19-02-01 15:00,33
19-02-01 14:00,28
19-02-01 13:00,30
19-02-01 12:00,32
19-02-01 11:00,38
19-02-01 10:00,32
19-02-01 09:00,28
19-02-01 08:00,27
19-02-01 07:00,27
19-02-01 06:00,23
19-02-01 05:00,15
19-02-01 04:00,
19-02-01 03:00,9
19-02-01 02:00,8
19-02-01 01:00,8
19-02-01 00:00,10
18-02-01 23:00,10
18-02-01 22:00,13
18-02-01 21:00,12
18-02-01 20:00,12
18-02-01 19:00,13
18-02-01 18:00,13
18-02-01 17:00,14
18-02-01 16:00,15
18-02-01 15:00,15
18-02-01 14:00,12
18-02-01 13:00,11
18-02-01 12:00,13
18-02-01 11:00,15
18-02-01 10:00,12
18-02-01 09:00,12
18-02-01 08:00,10
18-02-01 07:00,8
18-02-01 06:00,7
18-02-01 05:00,
18-02-01 04:00,8
18-02-01 03:00,6
18-02-01 02:00,6
18-02-01 01:00,9
18-02-01 00:00,12
17-02-01 23:00,12
17-02-01 22:00,13
17-02-01 21:00,15
17-02-01 20:00,17
17-02-01 19:00,21
17-02-01 18:00,21
17-02-01 17:00,25
17-02-01 16:00,25
17-02-01 15:00,22
17-02-01 14:00,23
17-02-01 13:00,25
17-02-01 12:00,20
17-02-01 11:00,24
17-02-01 10:00,29
17-02-01 09:00,40
17-02-01 08:00,45
17-02-01 07:00,47
17-02-01 06:00,49
17-02-01 05:00,
17-02-01 04:00,26
17-02-01 03:00,29
17-02-01 02:00,31
17-02-01 01:00,32
17-02-01 00:00,35
16-02-01 23:00,39
16-02-01 22:00,42
