Datum Zeit,Leipzig-Mitte PM10
,µg/m³
28-02-01,57
27-02-01,48
26-02-01,32
25-02-01,35
24-02-01,29
23-02-01,23
22-02-01,22
21-02-01,32
20-02-01,30
19-02-01,38
18-02-01,26
17-02-01,34
16-02-01,68
15-02-01,85
14-02-01,53
13-02-01,30
12-02-01,29
11-02-01,25
10-02-01,38
09-02-01,35
08-02-01,58
07-02-01,39
06-02-01,16
05-02-01,22
04-02-01,60
03-02-01,31
02-02-01,27
01-02-01,38

