Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-08-01,01:00,,,,127,,19,,
2018-08-01,02:00,,,,114,,22,,
2018-08-01,03:00,,,,108,,22,,
2018-08-01,04:00,,,,104,,20,,
2018-08-01,05:00,,,,101,,19,,
2018-08-01,06:00,,,,91,,18,,
2018-08-01,07:00,,,,79,,20,,
2018-08-01,08:00,,,,80,,22,,
2018-08-01,09:00,,,,88,,20,,
2018-08-01,10:00,,,,112,,19,,
2018-08-01,11:00,,,,134,,18,,
2018-08-01,12:00,,,,145,,18,,
2018-08-01,13:00,,,,153,,20,,
2018-08-01,14:00,,,,155,,22,,
2018-08-01,15:00,,,,158,,24,,
2018-08-01,16:00,,,,178,,26,,
2018-08-01,17:00,,,,173,,27,,
2018-08-01,18:00,,,,173,,25,,
2018-08-01,19:00,,,,177,,25,,
2018-08-01,20:00,,,,164,,25,,
2018-08-01,21:00,,,,146,,24,,
2018-08-01,22:00,,,,131,,22,,
2018-08-01,23:00,,,,125,,20,,
2018-08-02,00:00,,,,119,,18,,
2018-08-02,01:00,,,,117,,18,,
2018-08-02,02:00,,,,122,,18,,
2018-08-02,03:00,,,,107,,20,,
2018-08-02,04:00,,,,87,,21,,
2018-08-02,05:00,,,,83,,20,,
2018-08-02,06:00,,,,89,,21,,
2018-08-02,07:00,,,,90,,20,,
2018-08-02,08:00,,,,87,,20,,
2018-08-02,09:00,,,,90,,23,,
2018-08-02,10:00,,,,84,,29,,
2018-08-02,11:00,,,,107,,28,,
2018-08-02,12:00,,,,133,,19,,
2018-08-02,13:00,,,,143,,17,,
2018-08-02,14:00,,,,148,,16,,
2018-08-02,15:00,,,,147,,17,,
2018-08-02,16:00,,,,146,,18,,
2018-08-02,17:00,,,,147,,18,,
2018-08-02,18:00,,,,153,,18,,
2018-08-02,19:00,,,,148,,20,,
2018-08-02,20:00,,,,143,,20,,
2018-08-02,21:00,,,,135,,17,,
2018-08-02,22:00,,,,96,,9,,
2018-08-02,23:00,,,,54,,11,,
2018-08-03,00:00,,,,61,,12,,
2018-08-03,01:00,,,,56,,15,,
2018-08-03,02:00,,,,53,,15,,
2018-08-03,03:00,,,,45,,15,,
2018-08-03,04:00,,,,61,,16,,
2018-08-03,05:00,,,,36,,16,,
2018-08-03,06:00,,,,80,,17,,
2018-08-03,07:00,,,,83,,18,,
2018-08-03,08:00,,,,96,,18,,
2018-08-03,09:00,,,,103,,17,,
2018-08-03,10:00,,,,111,,17,,
2018-08-03,11:00,,,,118,,20,,
2018-08-03,12:00,,,,122,,18,,
2018-08-03,13:00,,,,119,,20,,
2018-08-03,14:00,,,,125,,17,,
2018-08-03,15:00,,,,133,,17,,
2018-08-03,16:00,,,,133,,20,,
2018-08-03,17:00,,,,126,,23,,
2018-08-03,18:00,,,,126,,19,,
2018-08-03,19:00,,,,127,,20,,
2018-08-03,20:00,,,,123,,19,,
2018-08-03,21:00,,,,96,,18,,
2018-08-03,22:00,,,,89,,17,,
2018-08-03,23:00,,,,112,,18,,
2018-08-04,00:00,,,,93,,18,,
2018-08-04,01:00,,,,92,,18,,
2018-08-04,02:00,,,,113,,16,,
2018-08-04,03:00,,,,114,,17,,
2018-08-04,04:00,,,,94,,17,,
2018-08-04,05:00,,,,94,,17,,
2018-08-04,06:00,,,,78,,17,,
2018-08-04,07:00,,,,90,,17,,
2018-08-04,08:00,,,,112,,14,,
2018-08-04,09:00,,,,87,,17,,
2018-08-04,10:00,,,,83,,20,,
2018-08-04,11:00,,,,89,,16,,
2018-08-04,12:00,,,,117,,15,,
2018-08-04,13:00,,,,124,,16,,
2018-08-04,14:00,,,,130,,16,,
2018-08-04,15:00,,,,131,,15,,
2018-08-04,16:00,,,,138,,16,,
2018-08-04,17:00,,,,149,,18,,
2018-08-04,18:00,,,,165,,21,,
2018-08-04,19:00,,,,158,,23,,
2018-08-04,20:00,,,,141,,23,,
2018-08-04,21:00,,,,128,,22,,
2018-08-04,22:00,,,,111,,21,,
2018-08-04,23:00,,,,97,,21,,
2018-08-05,00:00,,,,108,,19,,
2018-08-05,01:00,,,,127,,18,,
2018-08-05,02:00,,,,112,,17,,
2018-08-05,03:00,,,,116,,13,,
2018-08-05,04:00,,,,117,,10,,
2018-08-05,05:00,,,,88,,16,,
2018-08-05,06:00,,,,73,,15,,
2018-08-05,07:00,,,,57,,16,,
2018-08-05,08:00,,,,64,,18,,
2018-08-05,09:00,,,,71,,20,,
2018-08-05,10:00,,,,59,,18,,
2018-08-05,11:00,,,,68,,17,,
2018-08-05,12:00,,,,80,,18,,
2018-08-05,13:00,,,,87,,15,,
2018-08-05,14:00,,,,93,,12,,
2018-08-05,15:00,,,,93,,14,,
2018-08-05,16:00,,,,94,,14,,
2018-08-05,17:00,,,,96,,11,,
2018-08-05,18:00,,,,97,,11,,
2018-08-05,19:00,,,,99,,10,,
2018-08-05,20:00,,,,95,,11,,
2018-08-05,21:00,,,,76,,10,,
2018-08-05,22:00,,,,64,,10,,
2018-08-05,23:00,,,,63,,9,,
2018-08-06,00:00,,,,65,,9,,
2018-08-06,01:00,,,,58,,9,,
2018-08-06,02:00,,,,47,,9,,
2018-08-06,03:00,,,,48,,8,,
2018-08-06,04:00,,,,50,,7,,
2018-08-06,05:00,,,,43,,8,,
2018-08-06,06:00,,,,40,,8,,
2018-08-06,07:00,,,,59,,7,,
2018-08-06,08:00,,,,87,,8,,
2018-08-06,09:00,,,,86,,8,,
2018-08-06,10:00,,,,84,,8,,
2018-08-06,11:00,,,,88,,8,,
2018-08-06,12:00,,,,92,,5,,
2018-08-06,13:00,,,,97,,9,,
2018-08-06,14:00,,,,101,,8,,
2018-08-06,15:00,,,,105,,9,,
2018-08-06,16:00,,,,109,,7,,
2018-08-06,17:00,,,,113,,12,,
2018-08-06,18:00,,,,119,,6,,
2018-08-06,19:00,,,,115,,10,,
2018-08-06,20:00,,,,115,,9,,
2018-08-06,21:00,,,,118,,9,,
2018-08-06,22:00,,,,120,,11,,
2018-08-06,23:00,,,,121,,10,,
2018-08-07,00:00,,,,130,,10,,
2018-08-07,01:00,,,,131,,11,,
2018-08-07,02:00,,,,127,,11,,
2018-08-07,03:00,,,,125,,10,,
2018-08-07,04:00,,,,121,,10,,
2018-08-07,05:00,,,,115,,10,,
2018-08-07,06:00,,,,111,,9,,
2018-08-07,07:00,,,,109,,10,,
2018-08-07,08:00,,,,111,,10,,
2018-08-07,09:00,,,,117,,,,
2018-08-07,10:00,,,,126,,,,
2018-08-07,11:00,,,,131,,13,,
2018-08-07,12:00,,,,131,,12,,
2018-08-07,13:00,,,,138,,8,,
2018-08-07,14:00,,,,143,,10,,
2018-08-07,15:00,,,,144,,11,,
2018-08-07,16:00,,,,142,,16,,
2018-08-07,17:00,,,,144,,12,,
2018-08-07,18:00,,,,145,,12,,
2018-08-07,19:00,,,,145,,14,,
2018-08-07,20:00,,,,133,,13,,
2018-08-07,21:00,,,,134,,13,,
2018-08-07,22:00,,,,133,,13,,
2018-08-07,23:00,,,,134,,12,,
2018-08-08,00:00,,,,134,,12,,
2018-08-08,01:00,,,,128,,12,,
2018-08-08,02:00,,,,125,,14,,
