Datum Zeit,Collmberg PM10
,µg/m³
30-09-06,24
29-09-06,21
28-09-06,16
27-09-06,17
26-09-06,38
25-09-06,26
24-09-06,21
23-09-06,20
22-09-06,22
21-09-06,19
20-09-06,15
19-09-06,40
18-09-06,35
17-09-06,25
16-09-06,29
15-09-06,34
14-09-06,30
13-09-06,32
12-09-06,27
11-09-06,16
10-09-06,12
09-09-06,9
08-09-06,13
07-09-06,18
06-09-06,22
05-09-06,12
04-09-06,13
03-09-06,11
02-09-06,14
01-09-06,13

