Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-05-11,17.32
30-05-11,10.84
29-05-11,7.81
28-05-11,8.22
27-05-11,9.44
26-05-11,14.67
25-05-11,9.74
24-05-11,
23-05-11,10.30
22-05-11,13.30
21-05-11,12.94
20-05-11,16.03
19-05-11,14.62
18-05-11,12.57
17-05-11,15.15
16-05-11,11.21
15-05-11,9.17
14-05-11,18.28
13-05-11,16.07
12-05-11,31.49
11-05-11,24.44
10-05-11,20.78
09-05-11,18.06
08-05-11,15.67
07-05-11,16.88
06-05-11,21.27
05-05-11,20.16
04-05-11,14.78
03-05-11,9.31
02-05-11,21.72
01-05-11,12.54

