Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-05-11,
30-05-11,11.64
29-05-11,8.50
28-05-11,11.34
27-05-11,7.98
26-05-11,12.64
25-05-11,8.35
24-05-11,12.33
23-05-11,9.60
22-05-11,12.25
21-05-11,24.96
20-05-11,17.43
19-05-11,
18-05-11,11.53
17-05-11,14.59
16-05-11,11.50
15-05-11,10.23
14-05-11,20.04
13-05-11,15.19
12-05-11,21.92
11-05-11,18.39
10-05-11,20.16
09-05-11,14.30
08-05-11,11.18
07-05-11,13.93
06-05-11,21.88
05-05-11,18.32
04-05-11,16.64
03-05-11,9.24
02-05-11,18.74
01-05-11,11.99

