Datum Zeit,Glauchau PM10
,µg/m³
31-05-11,15
30-05-11,13
29-05-11,11
28-05-11,14
27-05-11,13
26-05-11,18
25-05-11,20
24-05-11,19
23-05-11,16
22-05-11,13
21-05-11,14
20-05-11,16
19-05-11,14
18-05-11,12
17-05-11,16
16-05-11,13
15-05-11,12
14-05-11,17
13-05-11,19
12-05-11,19
11-05-11,23
10-05-11,22
09-05-11,19
08-05-11,19
07-05-11,17
06-05-11,20
05-05-11,20
04-05-11,17
03-05-11,10
02-05-11,17
01-05-11,15

