Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-05-11,14.81
30-05-11,10.23
29-05-11,10.16
28-05-11,8.86
27-05-11,7.77
26-05-11,11.04
25-05-11,8.21
24-05-11,12.46
23-05-11,9.58
22-05-11,13.00
21-05-11,14.72
20-05-11,13.13
19-05-11,13.82
18-05-11,10.29
17-05-11,12.44
16-05-11,10.19
15-05-11,9.48
14-05-11,14.17
13-05-11,13.75
12-05-11,19.30
11-05-11,15.70
10-05-11,14.83
09-05-11,15.67
08-05-11,14.83
07-05-11,15.54
06-05-11,17.32
05-05-11,10.36
04-05-11,11.84
03-05-11,7.84
02-05-11,18.13
01-05-11,17.15

