Datum Zeit,Collmberg PM2.5
,µg/m³
31-05-11,10.60
30-05-11,8.10
29-05-11,5.84
28-05-11,5.05
27-05-11,4.55
26-05-11,7.07
25-05-11,5.98
24-05-11,6.91
23-05-11,5.95
22-05-11,9.40
21-05-11,10.47
20-05-11,7.21
19-05-11,6.98
18-05-11,6.32
17-05-11,8.25
16-05-11,6.36
15-05-11,5.44
14-05-11,9.67
13-05-11,8.06
12-05-11,
11-05-11,15.49
10-05-11,10.05
09-05-11,10.47
08-05-11,10.98
07-05-11,10.80
06-05-11,13.85
05-05-11,9.68
04-05-11,8.23
03-05-11,5.14
02-05-11,10.22
01-05-11,7.97

