Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-05-11,12.50
30-05-11,8.11
29-05-11,6.72
28-05-11,6.72
27-05-11,5.72
26-05-11,9.47
25-05-11,7.66
24-05-11,7.47
23-05-11,6.02
22-05-11,10.78
21-05-11,10.22
20-05-11,13.09
19-05-11,9.22
18-05-11,6.89
17-05-11,9.71
16-05-11,7.12
15-05-11,5.99
14-05-11,12.60
13-05-11,10.01
12-05-11,24.61
11-05-11,17.55
10-05-11,11.26
09-05-11,10.81
08-05-11,10.20
07-05-11,11.56
06-05-11,12.05
05-05-11,13.07
04-05-11,10.21
03-05-11,6.80
02-05-11,11.07
01-05-11,8.16

