Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-05-11,
30-05-11,11.18
29-05-11,9.58
28-05-11,10.14
27-05-11,8.98
26-05-11,12.75
25-05-11,12.27
24-05-11,14.48
23-05-11,11.42
22-05-11,13.11
21-05-11,18.43
20-05-11,17.69
19-05-11,15.09
18-05-11,12.73
17-05-11,13.02
16-05-11,12.65
15-05-11,9.79
14-05-11,14.62
13-05-11,15.85
12-05-11,24.25
11-05-11,19.16
10-05-11,18.71
09-05-11,15.97
08-05-11,15.34
07-05-11,15.97
06-05-11,20.05
05-05-11,16.84
04-05-11,16.69
03-05-11,17.43
02-05-11,20.17
01-05-11,14.83

