Datum Zeit,Borna PM10
,µg/m³
31-05-11,22
30-05-11,20
29-05-11,12
28-05-11,13
27-05-11,18
26-05-11,21
25-05-11,21
24-05-11,22
23-05-11,18
22-05-11,16
21-05-11,20
20-05-11,22
19-05-11,20
18-05-11,19
17-05-11,21
16-05-11,18
15-05-11,14
14-05-11,21
13-05-11,22
12-05-11,32
11-05-11,31
10-05-11,27
09-05-11,25
08-05-11,19
07-05-11,19
06-05-11,28
05-05-11,22
04-05-11,21
03-05-11,15
02-05-11,19
01-05-11,15

