Datum Zeit,Schwartenberg NO2
,µg/m³
01-01-02 00:00,6
31-12-01 23:00,8
31-12-01 22:00,6
31-12-01 21:00,5
31-12-01 20:00,6
31-12-01 19:00,8
31-12-01 18:00,8
31-12-01 17:00,8
31-12-01 16:00,7
31-12-01 15:00,6
31-12-01 14:00,5
31-12-01 13:00,6
31-12-01 12:00,8
31-12-01 11:00,6
31-12-01 10:00,5
31-12-01 09:00,5
31-12-01 08:00,6
31-12-01 07:00,5
31-12-01 06:00,4
31-12-01 05:00,4
31-12-01 04:00,
31-12-01 03:00,4
31-12-01 02:00,5
31-12-01 01:00,6
31-12-01 00:00,6
30-12-01 23:00,6
30-12-01 22:00,7
30-12-01 21:00,7
30-12-01 20:00,8
30-12-01 19:00,8
30-12-01 18:00,8
30-12-01 17:00,8
30-12-01 16:00,8
30-12-01 15:00,7
30-12-01 14:00,7
30-12-01 13:00,6
30-12-01 12:00,4
30-12-01 11:00,4
30-12-01 10:00,3
30-12-01 09:00,3
30-12-01 08:00,6
30-12-01 07:00,7
30-12-01 06:00,5
30-12-01 05:00,
30-12-01 04:00,3
30-12-01 03:00,3
30-12-01 02:00,4
30-12-01 01:00,5
30-12-01 00:00,6
29-12-01 23:00,8
29-12-01 22:00,8
29-12-01 21:00,9
29-12-01 20:00,8
29-12-01 19:00,7
29-12-01 18:00,7
29-12-01 17:00,8
29-12-01 16:00,7
29-12-01 15:00,8
29-12-01 14:00,6
29-12-01 13:00,6
29-12-01 12:00,7
29-12-01 11:00,7
29-12-01 10:00,7
29-12-01 09:00,6
29-12-01 08:00,6
29-12-01 07:00,6
29-12-01 06:00,7
29-12-01 05:00,
29-12-01 04:00,5
29-12-01 03:00,5
29-12-01 02:00,6
29-12-01 01:00,6
29-12-01 00:00,6
28-12-01 23:00,6
28-12-01 22:00,6
28-12-01 21:00,7
28-12-01 20:00,6
28-12-01 19:00,6
28-12-01 18:00,6
28-12-01 17:00,7
28-12-01 16:00,6
28-12-01 15:00,6
28-12-01 14:00,5
28-12-01 13:00,6
28-12-01 12:00,6
28-12-01 11:00,6
28-12-01 10:00,6
28-12-01 09:00,7
28-12-01 08:00,7
28-12-01 07:00,8
28-12-01 06:00,
28-12-01 05:00,7
28-12-01 04:00,6
28-12-01 03:00,6
28-12-01 02:00,6
28-12-01 01:00,6
28-12-01 00:00,6
27-12-01 23:00,7
27-12-01 22:00,10
27-12-01 21:00,8
27-12-01 20:00,11
27-12-01 19:00,9
27-12-01 18:00,8
27-12-01 17:00,7
27-12-01 16:00,6
27-12-01 15:00,6
27-12-01 14:00,6
27-12-01 13:00,6
27-12-01 12:00,7
27-12-01 11:00,7
27-12-01 10:00,7
27-12-01 09:00,7
27-12-01 08:00,6
27-12-01 07:00,7
27-12-01 06:00,
27-12-01 05:00,6
27-12-01 04:00,6
27-12-01 03:00,6
27-12-01 02:00,6
27-12-01 01:00,7
27-12-01 00:00,7
26-12-01 23:00,7
26-12-01 22:00,7
26-12-01 21:00,6
26-12-01 20:00,7
26-12-01 19:00,7
26-12-01 18:00,6
26-12-01 17:00,5
26-12-01 16:00,6
26-12-01 15:00,5
26-12-01 14:00,4
26-12-01 13:00,4
26-12-01 12:00,4
26-12-01 11:00,4
26-12-01 10:00,5
26-12-01 09:00,5
26-12-01 08:00,5
26-12-01 07:00,
26-12-01 06:00,5
26-12-01 05:00,4
26-12-01 04:00,4
26-12-01 03:00,4
26-12-01 02:00,4
26-12-01 01:00,4
26-12-01 00:00,5
25-12-01 23:00,5
25-12-01 22:00,5
25-12-01 21:00,6
25-12-01 20:00,5
25-12-01 19:00,5
25-12-01 18:00,5
25-12-01 17:00,5
25-12-01 16:00,5
25-12-01 15:00,5
25-12-01 14:00,4
25-12-01 13:00,4
25-12-01 12:00,4
25-12-01 11:00,4
25-12-01 10:00,4
25-12-01 09:00,5
25-12-01 08:00,6
25-12-01 07:00,
25-12-01 06:00,5
25-12-01 05:00,5
25-12-01 04:00,6
25-12-01 03:00,6
25-12-01 02:00,7
25-12-01 01:00,6
25-12-01 00:00,7
24-12-01 23:00,7
24-12-01 22:00,8
24-12-01 21:00,7
24-12-01 20:00,7
24-12-01 19:00,6
24-12-01 18:00,5
24-12-01 17:00,4
24-12-01 16:00,4
24-12-01 15:00,4
24-12-01 14:00,3
24-12-01 13:00,2
24-12-01 12:00,3
24-12-01 11:00,3
24-12-01 10:00,2
24-12-01 09:00,3
24-12-01 08:00,
24-12-01 07:00,3
24-12-01 06:00,3
24-12-01 05:00,3
24-12-01 04:00,2
24-12-01 03:00,3
24-12-01 02:00,3
24-12-01 01:00,3
24-12-01 00:00,3
23-12-01 23:00,3
23-12-01 22:00,3
23-12-01 21:00,4
23-12-01 20:00,5
23-12-01 19:00,6
23-12-01 18:00,8
23-12-01 17:00,8
23-12-01 16:00,8
23-12-01 15:00,10
23-12-01 14:00,4
23-12-01 13:00,3
23-12-01 12:00,3
23-12-01 11:00,3
23-12-01 10:00,4
23-12-01 09:00,6
23-12-01 08:00,
23-12-01 07:00,5
23-12-01 06:00,5
23-12-01 05:00,7
23-12-01 04:00,7
23-12-01 03:00,7
23-12-01 02:00,6
23-12-01 01:00,5
23-12-01 00:00,5
22-12-01 23:00,8
22-12-01 22:00,9
22-12-01 21:00,10
22-12-01 20:00,10
22-12-01 19:00,11
22-12-01 18:00,15
22-12-01 17:00,15
22-12-01 16:00,10
22-12-01 15:00,7
22-12-01 14:00,7
22-12-01 13:00,8
22-12-01 12:00,6
22-12-01 11:00,6
22-12-01 10:00,5
22-12-01 09:00,
22-12-01 08:00,4
22-12-01 07:00,9
22-12-01 06:00,14
22-12-01 05:00,14
22-12-01 04:00,15
22-12-01 03:00,15
22-12-01 02:00,15
22-12-01 01:00,14
22-12-01 00:00,14
21-12-01 23:00,14
21-12-01 22:00,13
21-12-01 21:00,13
21-12-01 20:00,13
21-12-01 19:00,14
21-12-01 18:00,15
21-12-01 17:00,15
21-12-01 16:00,14
21-12-01 15:00,13
21-12-01 14:00,12
21-12-01 13:00,11
21-12-01 12:00,8
21-12-01 11:00,6
21-12-01 10:00,6
21-12-01 09:00,
21-12-01 08:00,5
21-12-01 07:00,5
21-12-01 06:00,3
21-12-01 05:00,3
21-12-01 04:00,3
21-12-01 03:00,3
21-12-01 02:00,5
21-12-01 01:00,7
21-12-01 00:00,9
20-12-01 23:00,11
20-12-01 22:00,15
20-12-01 21:00,16
20-12-01 20:00,17
20-12-01 19:00,13
