Datum Zeit,Dresden-Nord NO
,µg/m³
01-01-02 00:00,10
31-12-01 23:00,14
31-12-01 22:00,14
31-12-01 21:00,20
31-12-01 20:00,28
31-12-01 19:00,33
31-12-01 18:00,18
31-12-01 17:00,42
31-12-01 16:00,29
31-12-01 15:00,30
31-12-01 14:00,25
31-12-01 13:00,34
31-12-01 12:00,60
31-12-01 11:00,35
31-12-01 10:00,49
31-12-01 09:00,36
31-12-01 08:00,43
31-12-01 07:00,32
31-12-01 06:00,21
31-12-01 05:00,10
31-12-01 04:00,
31-12-01 03:00,3
31-12-01 02:00,4
31-12-01 01:00,10
31-12-01 00:00,14
30-12-01 23:00,16
30-12-01 22:00,22
30-12-01 21:00,13
30-12-01 20:00,17
30-12-01 19:00,23
30-12-01 18:00,19
30-12-01 17:00,25
30-12-01 16:00,21
30-12-01 15:00,30
30-12-01 14:00,25
30-12-01 13:00,19
30-12-01 12:00,17
30-12-01 11:00,23
30-12-01 10:00,31
30-12-01 09:00,18
30-12-01 08:00,26
30-12-01 07:00,17
30-12-01 06:00,16
30-12-01 05:00,
30-12-01 04:00,16
30-12-01 03:00,17
30-12-01 02:00,14
30-12-01 01:00,29
30-12-01 00:00,42
29-12-01 23:00,32
29-12-01 22:00,35
29-12-01 21:00,29
29-12-01 20:00,31
29-12-01 19:00,34
29-12-01 18:00,55
29-12-01 17:00,60
29-12-01 16:00,51
29-12-01 15:00,55
29-12-01 14:00,46
29-12-01 13:00,50
29-12-01 12:00,45
29-12-01 11:00,35
29-12-01 10:00,33
29-12-01 09:00,21
29-12-01 08:00,15
29-12-01 07:00,12
29-12-01 06:00,8
29-12-01 05:00,
29-12-01 04:00,5
29-12-01 03:00,6
29-12-01 02:00,6
29-12-01 01:00,10
29-12-01 00:00,13
28-12-01 23:00,19
28-12-01 22:00,16
28-12-01 21:00,18
28-12-01 20:00,27
28-12-01 19:00,22
28-12-01 18:00,20
28-12-01 17:00,35
28-12-01 16:00,37
28-12-01 15:00,40
28-12-01 14:00,50
28-12-01 13:00,57
28-12-01 12:00,57
28-12-01 11:00,53
28-12-01 10:00,56
28-12-01 09:00,48
28-12-01 08:00,55
28-12-01 07:00,39
28-12-01 06:00,
28-12-01 05:00,16
28-12-01 04:00,8
28-12-01 03:00,8
28-12-01 02:00,9
28-12-01 01:00,5
28-12-01 00:00,6
27-12-01 23:00,10
27-12-01 22:00,7
27-12-01 21:00,11
27-12-01 20:00,10
27-12-01 19:00,26
27-12-01 18:00,18
27-12-01 17:00,35
27-12-01 16:00,48
27-12-01 15:00,63
27-12-01 14:00,55
27-12-01 13:00,52
27-12-01 12:00,63
27-12-01 11:00,55
27-12-01 10:00,44
27-12-01 09:00,48
27-12-01 08:00,38
27-12-01 07:00,36
27-12-01 06:00,
27-12-01 05:00,15
27-12-01 04:00,9
27-12-01 03:00,13
27-12-01 02:00,10
27-12-01 01:00,20
27-12-01 00:00,23
26-12-01 23:00,26
26-12-01 22:00,24
26-12-01 21:00,29
26-12-01 20:00,27
26-12-01 19:00,28
26-12-01 18:00,30
26-12-01 17:00,34
26-12-01 16:00,37
26-12-01 15:00,27
26-12-01 14:00,18
26-12-01 13:00,18
26-12-01 12:00,28
26-12-01 11:00,28
26-12-01 10:00,18
26-12-01 09:00,11
26-12-01 08:00,9
26-12-01 07:00,
26-12-01 06:00,17
26-12-01 05:00,8
26-12-01 04:00,7
26-12-01 03:00,9
26-12-01 02:00,13
26-12-01 01:00,18
26-12-01 00:00,17
25-12-01 23:00,31
25-12-01 22:00,27
25-12-01 21:00,17
