Datum Zeit,Freiberg SO2
,µg/m³
01-01-02 00:00,9.4
31-12-01 23:00,5.9
31-12-01 22:00,1.0
31-12-01 21:00,2.8
31-12-01 20:00,2.5
31-12-01 19:00,3.8
31-12-01 18:00,6.6
31-12-01 17:00,3.2
31-12-01 16:00,2.3
31-12-01 15:00,2.4
31-12-01 14:00,2.1
31-12-01 13:00,8.9
31-12-01 12:00,8.7
31-12-01 11:00,1.6
31-12-01 10:00,
31-12-01 09:00,1.0
31-12-01 08:00,1.0
31-12-01 07:00,1.0
31-12-01 06:00,1.0
31-12-01 05:00,1.0
31-12-01 04:00,1.0
31-12-01 03:00,1.0
31-12-01 02:00,1.1
31-12-01 01:00,1.3
31-12-01 00:00,4.1
30-12-01 23:00,3.9
30-12-01 22:00,4.2
30-12-01 21:00,4.3
30-12-01 20:00,4.4
30-12-01 19:00,4.7
30-12-01 18:00,4.1
30-12-01 17:00,4.6
30-12-01 16:00,4.7
30-12-01 15:00,5.3
30-12-01 14:00,6.5
30-12-01 13:00,5.0
30-12-01 12:00,3.6
30-12-01 11:00,2.5
30-12-01 10:00,
30-12-01 09:00,2.8
30-12-01 08:00,2.3
30-12-01 07:00,4.6
30-12-01 06:00,5.9
30-12-01 05:00,4.5
30-12-01 04:00,3.1
30-12-01 03:00,3.0
30-12-01 02:00,2.1
30-12-01 01:00,1.6
30-12-01 00:00,1.0
29-12-01 23:00,1.0
29-12-01 22:00,1.0
29-12-01 21:00,1.0
29-12-01 20:00,1.0
29-12-01 19:00,1.0
29-12-01 18:00,1.0
29-12-01 17:00,1.1
29-12-01 16:00,1.5
29-12-01 15:00,2.3
29-12-01 14:00,1.4
29-12-01 13:00,2.0
29-12-01 12:00,2.1
29-12-01 11:00,
29-12-01 10:00,1.0
29-12-01 09:00,1.0
29-12-01 08:00,1.0
29-12-01 07:00,1.0
29-12-01 06:00,1.0
29-12-01 05:00,1.0
29-12-01 04:00,1.0
29-12-01 03:00,1.0
29-12-01 02:00,1.0
29-12-01 01:00,1.0
29-12-01 00:00,1.0
28-12-01 23:00,1.1
28-12-01 22:00,1.3
28-12-01 21:00,1.8
28-12-01 20:00,1.1
28-12-01 19:00,1.2
28-12-01 18:00,1.0
28-12-01 17:00,1.0
28-12-01 16:00,1.0
28-12-01 15:00,1.0
28-12-01 14:00,1.3
28-12-01 13:00,1.4
28-12-01 12:00,1.3
28-12-01 11:00,
28-12-01 10:00,1.1
28-12-01 09:00,1.2
28-12-01 08:00,1.0
28-12-01 07:00,1.0
28-12-01 06:00,1.1
28-12-01 05:00,1.2
28-12-01 04:00,1.1
28-12-01 03:00,1.2
28-12-01 02:00,1.0
28-12-01 01:00,1.3
28-12-01 00:00,2.1
27-12-01 23:00,2.7
27-12-01 22:00,2.5
27-12-01 21:00,2.8
27-12-01 20:00,4.6
27-12-01 19:00,4.4
27-12-01 18:00,2.2
27-12-01 17:00,3.1
27-12-01 16:00,3.0
27-12-01 15:00,3.0
27-12-01 14:00,3.8
27-12-01 13:00,3.7
27-12-01 12:00,
27-12-01 11:00,4.7
27-12-01 10:00,4.5
27-12-01 09:00,3.5
27-12-01 08:00,2.5
27-12-01 07:00,2.4
27-12-01 06:00,2.0
27-12-01 05:00,2.5
27-12-01 04:00,2.5
27-12-01 03:00,2.0
27-12-01 02:00,2.7
27-12-01 01:00,2.1
27-12-01 00:00,1.8
26-12-01 23:00,2.0
26-12-01 22:00,1.6
26-12-01 21:00,2.8
26-12-01 20:00,2.6
26-12-01 19:00,2.7
26-12-01 18:00,3.9
26-12-01 17:00,2.4
26-12-01 16:00,1.4
26-12-01 15:00,1.8
26-12-01 14:00,1.7
26-12-01 13:00,2.0
26-12-01 12:00,
26-12-01 11:00,3.3
26-12-01 10:00,3.2
26-12-01 09:00,3.2
