Datum Zeit,Dresden-Nord SO2
,µg/m³
01-01-02 00:00,
31-12-01 23:00,3.6
31-12-01 22:00,4.0
31-12-01 21:00,4.1
31-12-01 20:00,5.1
31-12-01 19:00,5.0
31-12-01 18:00,6.6
31-12-01 17:00,5.2
31-12-01 16:00,4.9
31-12-01 15:00,5.4
31-12-01 14:00,7.3
31-12-01 13:00,4.3
31-12-01 12:00,3.3
31-12-01 11:00,3.7
31-12-01 10:00,3.6
31-12-01 09:00,3.4
31-12-01 08:00,3.6
31-12-01 07:00,3.2
31-12-01 06:00,
31-12-01 05:00,3.0
31-12-01 04:00,3.2
31-12-01 03:00,4.0
31-12-01 02:00,3.5
31-12-01 01:00,4.2
31-12-01 00:00,
30-12-01 23:00,5.6
30-12-01 22:00,5.2
30-12-01 21:00,5.6
30-12-01 20:00,5.5
30-12-01 19:00,6.2
30-12-01 18:00,5.7
30-12-01 17:00,5.9
30-12-01 16:00,5.5
30-12-01 15:00,6.3
30-12-01 14:00,6.2
30-12-01 13:00,4.1
30-12-01 12:00,3.7
30-12-01 11:00,5.4
30-12-01 10:00,3.7
30-12-01 09:00,3.2
30-12-01 08:00,4.4
30-12-01 07:00,6.0
30-12-01 06:00,
30-12-01 05:00,4.2
30-12-01 04:00,4.0
30-12-01 03:00,2.8
30-12-01 02:00,3.4
30-12-01 01:00,4.8
30-12-01 00:00,
29-12-01 23:00,1.0
29-12-01 22:00,1.3
29-12-01 21:00,1.5
29-12-01 20:00,1.3
29-12-01 19:00,1.7
29-12-01 18:00,2.9
29-12-01 17:00,3.3
29-12-01 16:00,2.2
29-12-01 15:00,2.7
29-12-01 14:00,2.8
29-12-01 13:00,2.3
29-12-01 12:00,2.4
29-12-01 11:00,1.8
29-12-01 10:00,1.6
29-12-01 09:00,1.7
29-12-01 08:00,1.4
29-12-01 07:00,
29-12-01 06:00,1.3
29-12-01 05:00,1.1
29-12-01 04:00,2.0
29-12-01 03:00,1.3
29-12-01 02:00,1.4
29-12-01 01:00,2.1
29-12-01 00:00,
28-12-01 23:00,2.6
28-12-01 22:00,2.5
28-12-01 21:00,1.7
28-12-01 20:00,2.0
28-12-01 19:00,1.9
28-12-01 18:00,1.3
28-12-01 17:00,2.1
28-12-01 16:00,2.7
28-12-01 15:00,2.8
28-12-01 14:00,3.9
28-12-01 13:00,3.9
28-12-01 12:00,4.0
28-12-01 11:00,3.3
28-12-01 10:00,3.9
28-12-01 09:00,4.1
28-12-01 08:00,3.1
28-12-01 07:00,
28-12-01 06:00,3.5
28-12-01 05:00,2.7
28-12-01 04:00,2.7
28-12-01 03:00,2.8
28-12-01 02:00,2.9
