Datum Zeit,Collmberg O3
,µg/m³
01-08-00 00:00,83
31-07-00 23:00,84
31-07-00 22:00,85
31-07-00 21:00,89
31-07-00 20:00,92
31-07-00 19:00,97
31-07-00 18:00,98
31-07-00 17:00,95
31-07-00 16:00,95
31-07-00 15:00,95
31-07-00 14:00,89
31-07-00 13:00,90
31-07-00 12:00,79
31-07-00 11:00,65
31-07-00 10:00,57
31-07-00 09:00,45
31-07-00 08:00,37
31-07-00 07:00,26
31-07-00 06:00,27
31-07-00 05:00,45
31-07-00 04:00,
31-07-00 03:00,69
31-07-00 02:00,73
31-07-00 01:00,89
31-07-00 00:00,95
30-07-00 23:00,94
30-07-00 22:00,96
30-07-00 21:00,96
30-07-00 20:00,97
30-07-00 19:00,96
30-07-00 18:00,93
30-07-00 17:00,96
30-07-00 16:00,102
30-07-00 15:00,93
30-07-00 14:00,82
30-07-00 13:00,68
30-07-00 12:00,60
30-07-00 11:00,60
30-07-00 10:00,55
30-07-00 09:00,53
30-07-00 08:00,47
30-07-00 07:00,41
30-07-00 06:00,41
30-07-00 05:00,
30-07-00 04:00,43
30-07-00 03:00,53
30-07-00 02:00,61
30-07-00 01:00,66
30-07-00 00:00,68
29-07-00 23:00,65
29-07-00 22:00,63
29-07-00 21:00,56
29-07-00 20:00,55
29-07-00 19:00,58
29-07-00 18:00,54
29-07-00 17:00,57
29-07-00 16:00,57
29-07-00 15:00,62
29-07-00 14:00,68
29-07-00 13:00,67
29-07-00 12:00,69
29-07-00 11:00,71
29-07-00 10:00,74
29-07-00 09:00,70
29-07-00 08:00,72
29-07-00 07:00,70
29-07-00 06:00,66
29-07-00 05:00,
29-07-00 04:00,73
29-07-00 03:00,74
29-07-00 02:00,70
29-07-00 01:00,75
29-07-00 00:00,80
28-07-00 23:00,90
28-07-00 22:00,95
28-07-00 21:00,92
28-07-00 20:00,98
28-07-00 19:00,97
28-07-00 18:00,98
28-07-00 17:00,89
28-07-00 16:00,97
28-07-00 15:00,89
28-07-00 14:00,84
28-07-00 13:00,73
28-07-00 12:00,58
28-07-00 11:00,53
28-07-00 10:00,46
28-07-00 09:00,37
28-07-00 08:00,35
28-07-00 07:00,36
28-07-00 06:00,
28-07-00 05:00,56
28-07-00 04:00,59
28-07-00 03:00,56
28-07-00 02:00,53
28-07-00 01:00,66
28-07-00 00:00,73
27-07-00 23:00,73
27-07-00 22:00,80
27-07-00 21:00,86
27-07-00 20:00,95
27-07-00 19:00,94
27-07-00 18:00,100
27-07-00 17:00,101
27-07-00 16:00,98
27-07-00 15:00,92
27-07-00 14:00,89
27-07-00 13:00,79
27-07-00 12:00,70
27-07-00 11:00,53
27-07-00 10:00,52
27-07-00 09:00,50
27-07-00 08:00,46
27-07-00 07:00,37
27-07-00 06:00,
27-07-00 05:00,41
27-07-00 04:00,40
27-07-00 03:00,44
27-07-00 02:00,43
27-07-00 01:00,44
27-07-00 00:00,54
26-07-00 23:00,67
26-07-00 22:00,60
26-07-00 21:00,77
26-07-00 20:00,81
26-07-00 19:00,78
26-07-00 18:00,74
26-07-00 17:00,78
26-07-00 16:00,106
26-07-00 15:00,100
26-07-00 14:00,93
26-07-00 13:00,86
26-07-00 12:00,78
26-07-00 11:00,76
26-07-00 10:00,65
26-07-00 09:00,58
26-07-00 08:00,57
26-07-00 07:00,
26-07-00 06:00,50
26-07-00 05:00,55
26-07-00 04:00,58
26-07-00 03:00,62
26-07-00 02:00,61
26-07-00 01:00,63
26-07-00 00:00,70
25-07-00 23:00,78
25-07-00 22:00,85
25-07-00 21:00,93
25-07-00 20:00,90
25-07-00 19:00,95
25-07-00 18:00,94
25-07-00 17:00,91
25-07-00 16:00,91
25-07-00 15:00,82
25-07-00 14:00,86
25-07-00 13:00,90
25-07-00 12:00,95
25-07-00 11:00,85
25-07-00 10:00,79
25-07-00 09:00,68
25-07-00 08:00,53
25-07-00 07:00,
25-07-00 06:00,
25-07-00 05:00,45
25-07-00 04:00,41
25-07-00 03:00,49
25-07-00 02:00,52
25-07-00 01:00,53
25-07-00 00:00,56
24-07-00 23:00,54
24-07-00 22:00,56
24-07-00 21:00,66
24-07-00 20:00,72
24-07-00 19:00,75
24-07-00 18:00,79
24-07-00 17:00,83
24-07-00 16:00,81
24-07-00 15:00,75
24-07-00 14:00,71
24-07-00 13:00,66
24-07-00 12:00,51
24-07-00 11:00,49
24-07-00 10:00,44
24-07-00 09:00,46
24-07-00 08:00,44
24-07-00 07:00,
24-07-00 06:00,46
24-07-00 05:00,57
24-07-00 04:00,56
24-07-00 03:00,58
24-07-00 02:00,64
24-07-00 01:00,71
24-07-00 00:00,78
23-07-00 23:00,83
23-07-00 22:00,88
23-07-00 21:00,89
23-07-00 20:00,84
23-07-00 19:00,88
23-07-00 18:00,89
23-07-00 17:00,88
23-07-00 16:00,87
23-07-00 15:00,83
23-07-00 14:00,82
23-07-00 13:00,80
23-07-00 12:00,69
23-07-00 11:00,57
23-07-00 10:00,46
23-07-00 09:00,36
23-07-00 08:00,27
23-07-00 07:00,
23-07-00 06:00,30
23-07-00 05:00,38
23-07-00 04:00,39
23-07-00 03:00,45
23-07-00 02:00,52
23-07-00 01:00,63
23-07-00 00:00,59
22-07-00 23:00,63
22-07-00 22:00,65
22-07-00 21:00,64
22-07-00 20:00,64
22-07-00 19:00,56
22-07-00 18:00,56
22-07-00 17:00,42
22-07-00 16:00,35
22-07-00 15:00,32
22-07-00 14:00,30
22-07-00 13:00,34
22-07-00 12:00,37
22-07-00 11:00,35
22-07-00 10:00,30
22-07-00 09:00,32
22-07-00 08:00,
22-07-00 07:00,34
22-07-00 06:00,34
22-07-00 05:00,37
22-07-00 04:00,34
22-07-00 03:00,32
22-07-00 02:00,33
22-07-00 01:00,36
22-07-00 00:00,34
21-07-00 23:00,34
21-07-00 22:00,33
21-07-00 21:00,36
21-07-00 20:00,42
21-07-00 19:00,40
21-07-00 18:00,44
21-07-00 17:00,48
21-07-00 16:00,47
21-07-00 15:00,50
21-07-00 14:00,52
21-07-00 13:00,53
21-07-00 12:00,57
21-07-00 11:00,58
21-07-00 10:00,61
21-07-00 09:00,60
21-07-00 08:00,
21-07-00 07:00,54
21-07-00 06:00,51
21-07-00 05:00,48
21-07-00 04:00,53
21-07-00 03:00,55
21-07-00 02:00,50
21-07-00 01:00,50
21-07-00 00:00,50
20-07-00 23:00,52
20-07-00 22:00,53
20-07-00 21:00,56
20-07-00 20:00,58
20-07-00 19:00,59
20-07-00 18:00,56
20-07-00 17:00,55
20-07-00 16:00,60
20-07-00 15:00,59
20-07-00 14:00,52
20-07-00 13:00,49
20-07-00 12:00,45
20-07-00 11:00,46
20-07-00 10:00,44
20-07-00 09:00,
20-07-00 08:00,29
20-07-00 07:00,27
20-07-00 06:00,34
20-07-00 05:00,38
20-07-00 04:00,38
20-07-00 03:00,43
20-07-00 02:00,44
20-07-00 01:00,43
20-07-00 00:00,45
19-07-00 23:00,40
19-07-00 22:00,34
19-07-00 21:00,34
19-07-00 20:00,33
19-07-00 19:00,24
19-07-00 18:00,28
19-07-00 17:00,29
19-07-00 16:00,27
19-07-00 15:00,28
19-07-00 14:00,34
19-07-00 13:00,41
19-07-00 12:00,44
19-07-00 11:00,51
19-07-00 10:00,58
19-07-00 09:00,
19-07-00 08:00,50
19-07-00 07:00,43
19-07-00 06:00,40
19-07-00 05:00,41
19-07-00 04:00,53
19-07-00 03:00,49
19-07-00 02:00,34
19-07-00 01:00,36
19-07-00 00:00,39
18-07-00 23:00,47
18-07-00 22:00,53
18-07-00 21:00,57
18-07-00 20:00,62
18-07-00 19:00,61
18-07-00 18:00,65
18-07-00 17:00,59
18-07-00 16:00,52
18-07-00 15:00,54
18-07-00 14:00,57
18-07-00 13:00,51
18-07-00 12:00,47
18-07-00 11:00,44
18-07-00 10:00,49
18-07-00 09:00,
18-07-00 08:00,27
18-07-00 07:00,26
18-07-00 06:00,26
18-07-00 05:00,24
18-07-00 04:00,24
18-07-00 03:00,31
18-07-00 02:00,36
18-07-00 01:00,43
18-07-00 00:00,
17-07-00 23:00,50
17-07-00 22:00,58
17-07-00 21:00,66
17-07-00 20:00,72
17-07-00 19:00,77
17-07-00 18:00,70
17-07-00 17:00,69
17-07-00 16:00,72
17-07-00 15:00,68
17-07-00 14:00,52
17-07-00 13:00,54
17-07-00 12:00,59
17-07-00 11:00,46
17-07-00 10:00,44
17-07-00 09:00,39
17-07-00 08:00,35
17-07-00 07:00,34
17-07-00 06:00,36
17-07-00 05:00,40
17-07-00 04:00,41
17-07-00 03:00,47
17-07-00 02:00,51
17-07-00 01:00,54
17-07-00 00:00,
16-07-00 23:00,62
16-07-00 22:00,67
16-07-00 21:00,72
16-07-00 20:00,75
16-07-00 19:00,76
16-07-00 18:00,75
16-07-00 17:00,70
16-07-00 16:00,69
16-07-00 15:00,65
16-07-00 14:00,59
16-07-00 13:00,64
16-07-00 12:00,65
16-07-00 11:00,55
16-07-00 10:00,43
16-07-00 09:00,34
16-07-00 08:00,29
16-07-00 07:00,25
16-07-00 06:00,27
16-07-00 05:00,30
16-07-00 04:00,32
16-07-00 03:00,32
16-07-00 02:00,31
16-07-00 01:00,
16-07-00 00:00,36
15-07-00 23:00,43
15-07-00 22:00,60
15-07-00 21:00,65
15-07-00 20:00,63
15-07-00 19:00,61
15-07-00 18:00,60
15-07-00 17:00,59
15-07-00 16:00,54
15-07-00 15:00,51
15-07-00 14:00,49
15-07-00 13:00,47
15-07-00 12:00,46
15-07-00 11:00,43
15-07-00 10:00,40
15-07-00 09:00,37
15-07-00 08:00,32
15-07-00 07:00,30
15-07-00 06:00,30
15-07-00 05:00,27
15-07-00 04:00,25
15-07-00 03:00,25
15-07-00 02:00,29
15-07-00 01:00,
15-07-00 00:00,46
14-07-00 23:00,45
14-07-00 22:00,37
14-07-00 21:00,45
14-07-00 20:00,41
14-07-00 19:00,41
14-07-00 18:00,38
14-07-00 17:00,32
14-07-00 16:00,35
14-07-00 15:00,46
14-07-00 14:00,42
14-07-00 13:00,35
14-07-00 12:00,32
14-07-00 11:00,26
14-07-00 10:00,25
14-07-00 09:00,23
14-07-00 08:00,24
14-07-00 07:00,30
14-07-00 06:00,38
14-07-00 05:00,42
14-07-00 04:00,42
14-07-00 03:00,44
14-07-00 02:00,
14-07-00 01:00,50
14-07-00 00:00,54
13-07-00 23:00,53
13-07-00 22:00,54
13-07-00 21:00,58
13-07-00 20:00,64
13-07-00 19:00,69
13-07-00 18:00,68
13-07-00 17:00,69
13-07-00 16:00,72
13-07-00 15:00,74
13-07-00 14:00,85
13-07-00 13:00,82
13-07-00 12:00,79
13-07-00 11:00,69
13-07-00 10:00,51
13-07-00 09:00,40
13-07-00 08:00,34
13-07-00 07:00,33
13-07-00 06:00,28
13-07-00 05:00,31
13-07-00 04:00,35
13-07-00 03:00,40
13-07-00 02:00,
13-07-00 01:00,59
13-07-00 00:00,60
12-07-00 23:00,62
12-07-00 22:00,62
12-07-00 21:00,65
12-07-00 20:00,61
12-07-00 19:00,61
12-07-00 18:00,64
12-07-00 17:00,65
12-07-00 16:00,63
12-07-00 15:00,60
12-07-00 14:00,60
12-07-00 13:00,57
12-07-00 12:00,54
12-07-00 11:00,52
12-07-00 10:00,48
12-07-00 09:00,51
12-07-00 08:00,49
12-07-00 07:00,47
12-07-00 06:00,48
12-07-00 05:00,45
12-07-00 04:00,49
12-07-00 03:00,
12-07-00 02:00,44
12-07-00 01:00,49
12-07-00 00:00,54
11-07-00 23:00,46
11-07-00 22:00,46
11-07-00 21:00,53
11-07-00 20:00,60
11-07-00 19:00,65
11-07-00 18:00,69
11-07-00 17:00,73
11-07-00 16:00,77
11-07-00 15:00,74
11-07-00 14:00,64
11-07-00 13:00,54
11-07-00 12:00,51
11-07-00 11:00,56
11-07-00 10:00,49
11-07-00 09:00,39
11-07-00 08:00,35
11-07-00 07:00,35
11-07-00 06:00,35
11-07-00 05:00,37
11-07-00 04:00,42
11-07-00 03:00,
11-07-00 02:00,48
11-07-00 01:00,50
11-07-00 00:00,53
10-07-00 23:00,52
10-07-00 22:00,52
10-07-00 21:00,58
10-07-00 20:00,62
10-07-00 19:00,64
10-07-00 18:00,68
10-07-00 17:00,69
10-07-00 16:00,67
10-07-00 15:00,62
10-07-00 14:00,63
10-07-00 13:00,67
10-07-00 12:00,49
10-07-00 11:00,38
10-07-00 10:00,43
10-07-00 09:00,30
10-07-00 08:00,29
10-07-00 07:00,30
10-07-00 06:00,36
10-07-00 05:00,37
10-07-00 04:00,
10-07-00 03:00,45
10-07-00 02:00,44
10-07-00 01:00,47
10-07-00 00:00,47
09-07-00 23:00,48
09-07-00 22:00,52
09-07-00 21:00,57
09-07-00 20:00,58
09-07-00 19:00,58
09-07-00 18:00,66
09-07-00 17:00,71
09-07-00 16:00,72
09-07-00 15:00,69
09-07-00 14:00,67
09-07-00 13:00,57
09-07-00 12:00,58
09-07-00 11:00,58
09-07-00 10:00,44
09-07-00 09:00,42
09-07-00 08:00,34
09-07-00 07:00,29
09-07-00 06:00,26
09-07-00 05:00,24
09-07-00 04:00,
09-07-00 03:00,25
09-07-00 02:00,27
09-07-00 01:00,31
09-07-00 00:00,36
08-07-00 23:00,39
08-07-00 22:00,52
08-07-00 21:00,53
08-07-00 20:00,53
08-07-00 19:00,56
08-07-00 18:00,52
08-07-00 17:00,51
08-07-00 16:00,50
08-07-00 15:00,54
08-07-00 14:00,48
08-07-00 13:00,47
08-07-00 12:00,47
08-07-00 11:00,45
08-07-00 10:00,46
08-07-00 09:00,49
08-07-00 08:00,50
08-07-00 07:00,55
08-07-00 06:00,51
08-07-00 05:00,
08-07-00 04:00,46
08-07-00 03:00,48
08-07-00 02:00,48
08-07-00 01:00,52
08-07-00 00:00,67
07-07-00 23:00,72
07-07-00 22:00,76
07-07-00 21:00,65
07-07-00 20:00,66
07-07-00 19:00,66
07-07-00 18:00,78
07-07-00 17:00,83
07-07-00 16:00,77
07-07-00 15:00,78
07-07-00 14:00,78
07-07-00 13:00,77
07-07-00 12:00,74
07-07-00 11:00,63
07-07-00 10:00,50
07-07-00 09:00,48
07-07-00 08:00,46
07-07-00 07:00,53
07-07-00 06:00,57
07-07-00 05:00,
07-07-00 04:00,76
07-07-00 03:00,76
07-07-00 02:00,75
07-07-00 01:00,74
07-07-00 00:00,74
06-07-00 23:00,74
06-07-00 22:00,78
06-07-00 21:00,83
06-07-00 20:00,82
06-07-00 19:00,81
06-07-00 18:00,72
06-07-00 17:00,83
