Datum Zeit,Schwartenberg NO
,µg/m³
20-07-00 23:00,1
20-07-00 22:00,1
20-07-00 21:00,1
20-07-00 20:00,1
20-07-00 19:00,1
20-07-00 18:00,1
20-07-00 17:00,1
20-07-00 16:00,1
20-07-00 15:00,1
20-07-00 14:00,1
20-07-00 13:00,1
20-07-00 12:00,1
20-07-00 11:00,1
20-07-00 10:00,1
20-07-00 09:00,1
20-07-00 08:00,
20-07-00 07:00,1
20-07-00 06:00,1
20-07-00 05:00,1
20-07-00 04:00,1
20-07-00 03:00,1
20-07-00 02:00,1
20-07-00 01:00,1
20-07-00 00:00,1
19-07-00 23:00,1
19-07-00 22:00,1
19-07-00 21:00,1
19-07-00 20:00,1
19-07-00 19:00,1
19-07-00 18:00,1
19-07-00 17:00,1
19-07-00 16:00,1
19-07-00 15:00,1
19-07-00 14:00,1
19-07-00 13:00,1
19-07-00 12:00,1
19-07-00 11:00,1
19-07-00 10:00,1
19-07-00 09:00,
19-07-00 08:00,1
19-07-00 07:00,1
19-07-00 06:00,1
19-07-00 05:00,1
19-07-00 04:00,1
19-07-00 03:00,1
19-07-00 02:00,1
19-07-00 01:00,1
19-07-00 00:00,1
18-07-00 23:00,1
18-07-00 22:00,1
18-07-00 21:00,1
18-07-00 20:00,1
18-07-00 19:00,1
18-07-00 18:00,1
18-07-00 17:00,1
18-07-00 16:00,1
18-07-00 15:00,1
18-07-00 14:00,1
18-07-00 13:00,1
18-07-00 12:00,1
18-07-00 11:00,1
18-07-00 10:00,1
18-07-00 09:00,
18-07-00 08:00,1
18-07-00 07:00,1
18-07-00 06:00,1
18-07-00 05:00,1
18-07-00 04:00,1
18-07-00 03:00,1
18-07-00 02:00,1
18-07-00 01:00,1
18-07-00 00:00,1
17-07-00 23:00,1
17-07-00 22:00,1
17-07-00 21:00,1
17-07-00 20:00,1
17-07-00 19:00,1
17-07-00 18:00,1
17-07-00 17:00,1
17-07-00 16:00,1
17-07-00 15:00,1
17-07-00 14:00,1
17-07-00 13:00,1
17-07-00 12:00,1
17-07-00 11:00,1
17-07-00 10:00,
17-07-00 09:00,1
17-07-00 08:00,1
17-07-00 07:00,1
17-07-00 06:00,1
17-07-00 05:00,1
17-07-00 04:00,1
17-07-00 03:00,1
17-07-00 02:00,1
17-07-00 01:00,1
17-07-00 00:00,1
16-07-00 23:00,1
16-07-00 22:00,1
16-07-00 21:00,1
16-07-00 20:00,1
16-07-00 19:00,1
16-07-00 18:00,1
16-07-00 17:00,1
16-07-00 16:00,1
16-07-00 15:00,1
16-07-00 14:00,1
16-07-00 13:00,1
16-07-00 12:00,1
16-07-00 11:00,1
16-07-00 10:00,
16-07-00 09:00,1
16-07-00 08:00,1
16-07-00 07:00,1
16-07-00 06:00,1
16-07-00 05:00,1
16-07-00 04:00,1
16-07-00 03:00,1
16-07-00 02:00,1
16-07-00 01:00,1
16-07-00 00:00,1
15-07-00 23:00,1
15-07-00 22:00,1
15-07-00 21:00,1
15-07-00 20:00,1
15-07-00 19:00,1
15-07-00 18:00,1
15-07-00 17:00,1
15-07-00 16:00,1
15-07-00 15:00,1
15-07-00 14:00,1
15-07-00 13:00,1
15-07-00 12:00,1
15-07-00 11:00,
15-07-00 10:00,1
15-07-00 09:00,1
15-07-00 08:00,1
15-07-00 07:00,1
15-07-00 06:00,1
15-07-00 05:00,1
15-07-00 04:00,1
15-07-00 03:00,1
15-07-00 02:00,1
15-07-00 01:00,1
15-07-00 00:00,1
14-07-00 23:00,1
14-07-00 22:00,1
14-07-00 21:00,1
14-07-00 20:00,1
14-07-00 19:00,1
14-07-00 18:00,1
14-07-00 17:00,1
14-07-00 16:00,1
14-07-00 15:00,1
14-07-00 14:00,1
14-07-00 13:00,1
14-07-00 12:00,1
14-07-00 11:00,
14-07-00 10:00,1
14-07-00 09:00,1
14-07-00 08:00,1
14-07-00 07:00,1
14-07-00 06:00,1
14-07-00 05:00,1
14-07-00 04:00,1
14-07-00 03:00,1
14-07-00 02:00,1
14-07-00 01:00,1
14-07-00 00:00,1
13-07-00 23:00,1
13-07-00 22:00,1
13-07-00 21:00,1
13-07-00 20:00,1
13-07-00 19:00,1
13-07-00 18:00,1
13-07-00 17:00,1
13-07-00 16:00,1
13-07-00 15:00,1
13-07-00 14:00,1
13-07-00 13:00,1
13-07-00 12:00,1
13-07-00 11:00,
13-07-00 10:00,1
13-07-00 09:00,1
13-07-00 08:00,1
13-07-00 07:00,1
13-07-00 06:00,1
13-07-00 05:00,1
13-07-00 04:00,1
13-07-00 03:00,1
13-07-00 02:00,1
13-07-00 01:00,1
13-07-00 00:00,1
12-07-00 23:00,1
12-07-00 22:00,1
12-07-00 21:00,1
12-07-00 20:00,1
12-07-00 19:00,1
12-07-00 18:00,1
12-07-00 17:00,1
12-07-00 16:00,1
12-07-00 15:00,1
12-07-00 14:00,1
12-07-00 13:00,
12-07-00 12:00,1
12-07-00 11:00,1
12-07-00 10:00,1
12-07-00 09:00,1
12-07-00 08:00,1
12-07-00 07:00,1
12-07-00 06:00,1
