Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-11-10,10.63
29-11-10,29.02
28-11-10,37.55
27-11-10,31.37
26-11-10,20.01
25-11-10,14.88
24-11-10,4.61
23-11-10,3.52
22-11-10,13.39
21-11-10,24.20
20-11-10,19.30
19-11-10,14.34
18-11-10,5.22
17-11-10,2.84
16-11-10,1.98
15-11-10,5.52
14-11-10,4.21
13-11-10,1.52
12-11-10,3.74
11-11-10,4.91
10-11-10,12.74
09-11-10,15.21
08-11-10,5.76
07-11-10,6.56
06-11-10,3.00
05-11-10,4.31
04-11-10,3.95
03-11-10,10.11
02-11-10,43.96
01-11-10,44.91

