Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-11-10,14.26
29-11-10,35.24
28-11-10,33.31
27-11-10,29.63
26-11-10,21.97
25-11-10,24.18
24-11-10,8.14
23-11-10,6.54
22-11-10,24.60
21-11-10,27.46
20-11-10,34.35
19-11-10,20.36
18-11-10,13.42
17-11-10,9.52
16-11-10,10.61
15-11-10,18.50
14-11-10,11.50
13-11-10,6.31
12-11-10,8.58
11-11-10,13.73
10-11-10,21.56
09-11-10,23.11
08-11-10,13.60
07-11-10,6.79
06-11-10,5.91
05-11-10,9.50
04-11-10,8.45
03-11-10,20.90
02-11-10,62.65
01-11-10,36.73

