Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-11-10,13.92
29-11-10,73.52
28-11-10,36.91
27-11-10,34.25
26-11-10,26.08
25-11-10,23.88
24-11-10,11.18
23-11-10,7.93
22-11-10,17.74
21-11-10,29.39
20-11-10,25.52
19-11-10,21.18
18-11-10,10.67
17-11-10,4.71
16-11-10,3.71
15-11-10,
14-11-10,6.80
13-11-10,3.88
12-11-10,20.36
11-11-10,18.83
10-11-10,32.77
09-11-10,36.08
08-11-10,9.67
07-11-10,8.71
06-11-10,6.39
05-11-10,21.11
04-11-10,14.46
03-11-10,24.71
02-11-10,53.92
01-11-10,55.83

