Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-11-10,18.49
29-11-10,41.94
28-11-10,39.00
27-11-10,32.62
26-11-10,20.96
25-11-10,22.32
24-11-10,10.33
23-11-10,6.55
22-11-10,16.23
21-11-10,19.95
20-11-10,17.52
19-11-10,25.71
18-11-10,14.34
17-11-10,9.88
16-11-10,4.95
15-11-10,7.87
14-11-10,8.18
13-11-10,3.02
12-11-10,5.67
11-11-10,8.89
10-11-10,20.85
09-11-10,20.07
08-11-10,8.82
07-11-10,5.04
06-11-10,7.38
05-11-10,8.20
04-11-10,7.07
03-11-10,16.03
02-11-10,44.57
01-11-10,38.22

