Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-11-10,11.68
29-11-10,31.21
28-11-10,32.43
27-11-10,26.29
26-11-10,19.58
25-11-10,16.56
24-11-10,5.27
23-11-10,3.99
22-11-10,20.30
21-11-10,25.65
20-11-10,32.37
19-11-10,14.44
18-11-10,7.97
17-11-10,5.76
16-11-10,2.74
15-11-10,11.05
14-11-10,6.94
13-11-10,2.67
12-11-10,4.20
11-11-10,8.29
10-11-10,19.55
09-11-10,16.89
08-11-10,6.00
07-11-10,5.09
06-11-10,3.88
05-11-10,5.12
04-11-10,3.94
03-11-10,17.68
02-11-10,56.22
01-11-10,32.17

