Datum Zeit,Zinnwald NO2
,µg/m³
01-11-04 00:00,9
31-10-04 23:00,10
31-10-04 22:00,9
31-10-04 21:00,10
31-10-04 20:00,9
31-10-04 19:00,8
31-10-04 18:00,11
31-10-04 17:00,14
31-10-04 16:00,13
31-10-04 15:00,11
31-10-04 14:00,10
31-10-04 13:00,9
31-10-04 12:00,8
31-10-04 11:00,10
31-10-04 10:00,10
31-10-04 09:00,8
31-10-04 08:00,6
31-10-04 07:00,7
31-10-04 06:00,5
31-10-04 05:00,6
31-10-04 04:00,6
31-10-04 03:00,6
31-10-04 02:00,5
31-10-04 01:00,5
31-10-04 00:00,5
30-10-04 23:00,6
30-10-04 22:00,9
30-10-04 21:00,10
30-10-04 20:00,11
30-10-04 19:00,13
30-10-04 18:00,12
30-10-04 17:00,10
30-10-04 16:00,12
30-10-04 15:00,13
30-10-04 14:00,8
30-10-04 13:00,8
30-10-04 12:00,10
30-10-04 11:00,9
30-10-04 10:00,12
30-10-04 09:00,25
30-10-04 08:00,19
30-10-04 07:00,13
30-10-04 06:00,11
30-10-04 05:00,10
30-10-04 04:00,26
30-10-04 03:00,33
30-10-04 02:00,33
30-10-04 01:00,9
30-10-04 00:00,23
29-10-04 23:00,46
29-10-04 22:00,52
29-10-04 21:00,39
29-10-04 20:00,22
29-10-04 19:00,26
29-10-04 18:00,18
29-10-04 17:00,16
29-10-04 16:00,15
29-10-04 15:00,16
29-10-04 14:00,16
29-10-04 13:00,16
29-10-04 12:00,13
29-10-04 11:00,13
29-10-04 10:00,13
29-10-04 09:00,16
29-10-04 08:00,24
29-10-04 07:00,18
29-10-04 06:00,14
29-10-04 05:00,11
29-10-04 04:00,23
29-10-04 03:00,42
29-10-04 02:00,22
29-10-04 01:00,13
29-10-04 00:00,12
28-10-04 23:00,11
28-10-04 22:00,18
28-10-04 21:00,26
28-10-04 20:00,34
28-10-04 19:00,30
28-10-04 18:00,18
28-10-04 17:00,19
28-10-04 16:00,11
28-10-04 15:00,11
28-10-04 14:00,14
28-10-04 13:00,22
28-10-04 12:00,22
28-10-04 11:00,15
28-10-04 10:00,20
28-10-04 09:00,13
28-10-04 08:00,14
28-10-04 07:00,32
28-10-04 06:00,30
28-10-04 05:00,30
28-10-04 04:00,39
28-10-04 03:00,25
28-10-04 02:00,22
28-10-04 01:00,16
28-10-04 00:00,19
27-10-04 23:00,26
27-10-04 22:00,24
27-10-04 21:00,26
27-10-04 20:00,19
27-10-04 19:00,20
27-10-04 18:00,22
27-10-04 17:00,11
27-10-04 16:00,11
27-10-04 15:00,11
27-10-04 14:00,11
27-10-04 13:00,13
27-10-04 12:00,14
27-10-04 11:00,13
27-10-04 10:00,12
27-10-04 09:00,17
27-10-04 08:00,10
