Datum Zeit,Chemnitz-Mitte PM10
,µg/m³
31-03-06,6
30-03-06,11
29-03-06,17
28-03-06,26
27-03-06,13
26-03-06,8
25-03-06,27
24-03-06,59
23-03-06,42
22-03-06,38
21-03-06,40
20-03-06,39
19-03-06,43
18-03-06,50
17-03-06,46
16-03-06,57
15-03-06,43
14-03-06,30
13-03-06,22
12-03-06,23
11-03-06,31
10-03-06,11
09-03-06,15
08-03-06,21
07-03-06,18
06-03-06,19
05-03-06,32
04-03-06,32
03-03-06,23
02-03-06,18
01-03-06,18

