Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-08-13,16.88
30-08-13,14.09
29-08-13,11.95
28-08-13,12.35
27-08-13,9.35
26-08-13,7.54
25-08-13,12.57
24-08-13,12.37
23-08-13,16.16
22-08-13,10.89
21-08-13,8.86
20-08-13,7.75
19-08-13,7.72
18-08-13,11.95
17-08-13,14.83
16-08-13,12.47
15-08-13,9.73
14-08-13,7.19
13-08-13,7.52
12-08-13,9.12
11-08-13,8.05
10-08-13,10.02
09-08-13,8.27
08-08-13,11.05
07-08-13,9.28
06-08-13,12.11
05-08-13,11.37
04-08-13,10.76
03-08-13,14.19
02-08-13,13.87
01-08-13,9.91

