Datum Zeit,Carlsfeld PM10
,µg/m³
31-08-13,17
30-08-13,13
29-08-13,12
28-08-13,14
27-08-13,15
26-08-13,10
25-08-13,12
24-08-13,17
23-08-13,16
22-08-13,13
21-08-13,10
20-08-13,9
19-08-13,5
18-08-13,11
17-08-13,12
16-08-13,12
15-08-13,9
14-08-13,6
13-08-13,6
12-08-13,10
11-08-13,12
10-08-13,11
09-08-13,9
08-08-13,10
07-08-13,10
06-08-13,13
05-08-13,13
04-08-13,11
03-08-13,17
02-08-13,10
01-08-13,7

