Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-08-13,23.35
30-08-13,20.55
29-08-13,15.40
28-08-13,15.80
27-08-13,11.01
26-08-13,9.75
25-08-13,11.97
24-08-13,12.60
23-08-13,17.84
22-08-13,14.47
21-08-13,10.36
20-08-13,7.88
19-08-13,8.71
18-08-13,9.35
17-08-13,14.24
16-08-13,12.18
15-08-13,11.84
14-08-13,6.78
13-08-13,6.77
12-08-13,7.76
11-08-13,6.81
10-08-13,11.86
09-08-13,11.56
08-08-13,10.18
07-08-13,18.37
06-08-13,14.54
05-08-13,11.55
04-08-13,10.66
03-08-13,13.27
02-08-13,12.82
01-08-13,8.65

