Datum Zeit,Collmberg PM2.5
,µg/m³
31-08-13,12.37
30-08-13,12.06
29-08-13,8.86
28-08-13,9.21
27-08-13,7.73
26-08-13,7.10
25-08-13,10.09
24-08-13,9.95
23-08-13,11.37
22-08-13,9.02
21-08-13,6.30
20-08-13,4.72
19-08-13,4.18
18-08-13,6.69
17-08-13,10.42
16-08-13,9.38
15-08-13,6.97
14-08-13,3.82
13-08-13,4.30
12-08-13,4.95
11-08-13,5.46
10-08-13,7.92
09-08-13,6.83
08-08-13,6.69
07-08-13,7.36
06-08-13,10.65
05-08-13,7.04
04-08-13,9.78
03-08-13,9.99
02-08-13,8.83
01-08-13,5.65

