Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-08-13,16.51
30-08-13,16.86
29-08-13,14.39
28-08-13,12.73
27-08-13,10.54
26-08-13,8.60
25-08-13,10.08
24-08-13,12.24
23-08-13,13.69
22-08-13,13.28
21-08-13,11.42
20-08-13,8.79
19-08-13,8.75
18-08-13,10.45
17-08-13,15.89
16-08-13,12.78
15-08-13,10.88
14-08-13,7.67
13-08-13,7.44
12-08-13,10.41
11-08-13,9.70
10-08-13,12.61
09-08-13,10.60
08-08-13,12.29
07-08-13,11.61
06-08-13,14.26
05-08-13,13.55
04-08-13,12.14
03-08-13,15.11
02-08-13,13.39
01-08-13,18.25

