Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-08-13,16.49
30-08-13,13.95
29-08-13,13.35
28-08-13,12.80
27-08-13,13.71
26-08-13,9.66
25-08-13,10.75
24-08-13,18.76
23-08-13,
22-08-13,14.12
21-08-13,9.78
20-08-13,7.81
19-08-13,5.79
18-08-13,8.55
17-08-13,12.28
16-08-13,10.31
15-08-13,8.71
14-08-13,5.23
13-08-13,4.58
12-08-13,8.03
11-08-13,7.84
10-08-13,7.89
09-08-13,11.67
08-08-13,9.62
07-08-13,9.01
06-08-13,10.52
05-08-13,13.14
04-08-13,9.94
03-08-13,13.59
02-08-13,10.33
01-08-13,7.27

