Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-08-13,18.06
30-08-13,16.79
29-08-13,14.92
28-08-13,15.92
27-08-13,13.16
26-08-13,10.11
25-08-13,11.65
24-08-13,15.11
23-08-13,18.36
22-08-13,15.35
21-08-13,13.96
20-08-13,9.69
19-08-13,10.26
18-08-13,11.88
17-08-13,17.19
16-08-13,15.55
15-08-13,13.25
14-08-13,8.43
13-08-13,9.43
12-08-13,10.96
11-08-13,8.07
10-08-13,10.38
09-08-13,11.38
08-08-13,12.83
07-08-13,10.26
06-08-13,13.68
05-08-13,12.28
04-08-13,12.48
03-08-13,15.28
02-08-13,16.17
01-08-13,11.50

