Datum Zeit,Klingenthal PM10
,µg/m³
31-08-13,18
30-08-13,16
29-08-13,15
28-08-13,17
27-08-13,16
26-08-13,11
25-08-13,16
24-08-13,20
23-08-13,18
22-08-13,19
21-08-13,13
20-08-13,12
19-08-13,9
18-08-13,14
17-08-13,14
16-08-13,14
15-08-13,13
14-08-13,9
13-08-13,10
12-08-13,12
11-08-13,13
10-08-13,14
09-08-13,11
08-08-13,12
07-08-13,13
06-08-13,16
05-08-13,15
04-08-13,14
03-08-13,20
02-08-13,13
01-08-13,10

