Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-08-13,16.14
30-08-13,14.77
29-08-13,10.26
28-08-13,11.58
27-08-13,8.61
26-08-13,7.49
25-08-13,10.13
24-08-13,11.51
23-08-13,13.39
22-08-13,10.47
21-08-13,7.54
20-08-13,5.46
19-08-13,5.35
18-08-13,7.92
17-08-13,12.98
16-08-13,10.15
15-08-13,8.29
14-08-13,4.29
13-08-13,4.56
12-08-13,5.50
11-08-13,6.54
10-08-13,10.09
09-08-13,9.02
08-08-13,6.89
07-08-13,17.14
06-08-13,11.21
05-08-13,11.21
04-08-13,9.64
03-08-13,11.37
02-08-13,9.51
01-08-13,7.15

