Datum Zeit,Annaberg-Buchholz PM10
,µg/m³
31-08-13,
30-08-13,
29-08-13,
28-08-13,
27-08-13,
26-08-13,
25-08-13,
24-08-13,
23-08-13,
22-08-13,
21-08-13,
20-08-13,
19-08-13,
18-08-13,
17-08-13,
16-08-13,
15-08-13,
14-08-13,
13-08-13,
12-08-13,
11-08-13,
10-08-13,
09-08-13,
08-08-13,
07-08-13,
06-08-13,
05-08-13,
04-08-13,
03-08-13,
02-08-13,
01-08-13,

