Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-12-01,,,,,,,30,23.15,
2000-12-01,01:00,5.9,1.0,75,31,1,,,1.7
2000-12-01,02:00,5.1,0.7,78,34,1,,,2.3
2000-12-01,03:00,4.4,0.6,69,34,1,,,2.6
2000-12-01,04:00,3.4,0.4,46,29,1,,,2.9
2000-12-01,05:00,3.3,0.2,60,34,1,,,3.1
2000-12-01,06:00,4.1,0.6,79,38,,,,3.5
2000-12-01,07:00,5.9,1.0,104,43,1,,,4.5
2000-12-01,08:00,6.7,1.1,124,47,1,,,5.2
2000-12-01,09:00,6.2,1.4,169,55,1,,,5.3
2000-12-01,10:00,7.4,1.4,159,58,2,,,7.2
2000-12-01,11:00,10.2,1.6,158,60,2,,,7.8
2000-12-01,12:00,9.0,1.3,126,49,2,,,7.5
2000-12-01,13:00,6.2,0.6,81,41,4,,,
2000-12-01,14:00,7.3,1.1,101,46,3,,,7.7
2000-12-01,15:00,7.7,1.5,,,2,,,6.1
2000-12-01,16:00,9.3,2.0,138,48,1,,,6.4
2000-12-01,17:00,10.1,2.5,161,51,1,,,6.1
2000-12-01,18:00,13.4,3.2,171,55,3,,,6.3
2000-12-01,19:00,13.1,2.3,152,58,1,,,6.9
2000-12-01,20:00,6.6,1.2,69,45,1,,,4.2
2000-12-01,21:00,7.0,1.0,58,41,1,,,3.0
2000-12-01,22:00,7.4,1.6,73,42,1,,,4.0
2000-12-01,23:00,9.4,1.1,61,41,1,,,2.2
2000-12-02,,,,,,,35,,
2000-12-02,00:00,4.9,1.0,65,39,1,,,2.0
2000-12-02,01:00,10.4,1.6,61,37,1,,,2.9
2000-12-02,02:00,4.2,1.0,31,32,1,,,2.9
2000-12-02,03:00,3.0,1.0,18,33,1,,,2.1
2000-12-02,04:00,4.7,1.4,39,37,1,,,2.7
2000-12-02,05:00,3.1,0.7,23,31,3,,,2.8
2000-12-02,06:00,2.9,0.8,22,31,,,,2.8
2000-12-02,07:00,2.2,0.7,26,32,3,,,2.8
2000-12-02,08:00,3.2,0.8,45,39,1,,,2.6
2000-12-02,09:00,3.4,0.9,75,43,1,,,3.1
2000-12-02,10:00,5.2,1.4,102,53,2,,,4.9
2000-12-02,11:00,4.0,0.9,72,44,5,,,4.9
2000-12-02,12:00,4.6,1.1,64,42,8,,,5.9
2000-12-02,13:00,4.3,,47,43,9,,,
2000-12-02,14:00,3.8,,47,41,7,,,4.7
2000-12-02,15:00,4.7,,,,6,,,4.6
2000-12-02,16:00,6.0,,78,48,3,,,4.1
2000-12-02,17:00,5.5,,82,52,1,,,3.9
2000-12-02,18:00,15.4,,140,58,1,,,5.2
2000-12-02,19:00,12.9,,140,51,1,,,5.1
2000-12-02,20:00,11.4,,169,53,1,,,5.3
2000-12-02,21:00,8.6,,136,48,1,,,4.3
2000-12-02,22:00,12.3,,145,46,1,,,5.4
2000-12-02,23:00,9.5,,96,44,1,,,4.2
2000-12-03,,,,,,,27,17.08,
2000-12-03,00:00,10.9,,119,46,1,,,4.6
2000-12-03,01:00,8.8,,119,43,1,,,2.0
2000-12-03,02:00,8.8,,113,45,1,,,1.7
2000-12-03,03:00,7.5,,65,41,1,,,1.6
2000-12-03,04:00,7.3,,81,38,1,,,1.7
2000-12-03,05:00,6.2,,57,34,,,,1.0
2000-12-03,06:00,5.5,,46,30,1,,,1.0
2000-12-03,07:00,5.4,,85,32,1,,,1.1
2000-12-03,08:00,3.9,,31,34,2,,,1.1
2000-12-03,09:00,3.1,,23,29,10,,,2.5
2000-12-03,10:00,3.6,,90,41,8,,,3.2
2000-12-03,11:00,3.3,,27,26,17,,,3.4
2000-12-03,12:00,2.6,,27,22,24,,,
2000-12-03,13:00,3.1,,24,21,26,,,3.3
2000-12-03,14:00,2.3,,,,26,,,2.7
2000-12-03,15:00,3.0,,22,25,21,,,2.4
2000-12-03,16:00,3.5,,31,33,15,,,1.4
2000-12-03,17:00,3.8,,41,37,19,,,1.6
