Datum Zeit,Leipzig-Mitte PM10
,µg/m³
31-01-06,66
30-01-06,130
29-01-06,121
28-01-06,111
27-01-06,93
26-01-06,106
25-01-06,74
24-01-06,98
23-01-06,70
22-01-06,48
21-01-06,17
20-01-06,28
19-01-06,60
18-01-06,39
17-01-06,51
16-01-06,68
15-01-06,66
14-01-06,74
13-01-06,56
12-01-06,72
11-01-06,42
10-01-06,57
09-01-06,62
08-01-06,46
07-01-06,45
06-01-06,35
05-01-06,32
04-01-06,33
03-01-06,29
02-01-06,51
01-01-06,59

