Datum Zeit,Glauchau O3
,µg/m³
01-02-06 00:00,15
31-01-06 23:00,16
31-01-06 22:00,16
31-01-06 21:00,19
31-01-06 20:00,23
31-01-06 19:00,20
31-01-06 18:00,22
31-01-06 17:00,24
31-01-06 16:00,27
31-01-06 15:00,29
31-01-06 14:00,29
31-01-06 13:00,30
31-01-06 12:00,31
31-01-06 11:00,20
31-01-06 10:00,10
31-01-06 09:00,3
31-01-06 08:00,1
31-01-06 07:00,1
31-01-06 06:00,2
31-01-06 05:00,6
31-01-06 04:00,8
31-01-06 03:00,14
31-01-06 02:00,6
31-01-06 01:00,2
31-01-06 00:00,1
30-01-06 23:00,2
30-01-06 22:00,3
30-01-06 21:00,2
30-01-06 20:00,2
30-01-06 19:00,2
30-01-06 18:00,1
30-01-06 17:00,9
30-01-06 16:00,20
30-01-06 15:00,24
30-01-06 14:00,28
30-01-06 13:00,23
30-01-06 12:00,21
30-01-06 11:00,16
30-01-06 10:00,13
30-01-06 09:00,14
30-01-06 08:00,13
30-01-06 07:00,11
30-01-06 06:00,10
30-01-06 05:00,11
30-01-06 04:00,12
30-01-06 03:00,12
30-01-06 02:00,13
30-01-06 01:00,14
30-01-06 00:00,13
29-01-06 23:00,15
29-01-06 22:00,13
29-01-06 21:00,14
29-01-06 20:00,13
29-01-06 19:00,11
29-01-06 18:00,12
29-01-06 17:00,27
29-01-06 16:00,41
29-01-06 15:00,44
29-01-06 14:00,42
29-01-06 13:00,39
29-01-06 12:00,33
29-01-06 11:00,23
29-01-06 10:00,15
29-01-06 09:00,10
29-01-06 08:00,10
29-01-06 07:00,10
29-01-06 06:00,11
29-01-06 05:00,12
29-01-06 04:00,11
29-01-06 03:00,11
29-01-06 02:00,11
29-01-06 01:00,11
29-01-06 00:00,12
28-01-06 23:00,13
28-01-06 22:00,12
28-01-06 21:00,11
28-01-06 20:00,10
28-01-06 19:00,9
28-01-06 18:00,14
28-01-06 17:00,30
28-01-06 16:00,45
28-01-06 15:00,45
28-01-06 14:00,44
28-01-06 13:00,40
28-01-06 12:00,30
28-01-06 11:00,19
28-01-06 10:00,13
28-01-06 09:00,10
28-01-06 08:00,8
28-01-06 07:00,9
28-01-06 06:00,8
28-01-06 05:00,7
28-01-06 04:00,9
28-01-06 03:00,9
28-01-06 02:00,10
28-01-06 01:00,10
28-01-06 00:00,10
27-01-06 23:00,13
27-01-06 22:00,12
27-01-06 21:00,12
27-01-06 20:00,11
27-01-06 19:00,8
27-01-06 18:00,7
27-01-06 17:00,15
27-01-06 16:00,27
27-01-06 15:00,33
27-01-06 14:00,42
27-01-06 13:00,43
27-01-06 12:00,34
27-01-06 11:00,21
27-01-06 10:00,13
27-01-06 09:00,10
27-01-06 08:00,7
27-01-06 07:00,10
27-01-06 06:00,7
27-01-06 05:00,6
27-01-06 04:00,6
27-01-06 03:00,20
27-01-06 02:00,31
27-01-06 01:00,10
27-01-06 00:00,18
26-01-06 23:00,42
26-01-06 22:00,48
26-01-06 21:00,32
26-01-06 20:00,35
26-01-06 19:00,22
26-01-06 18:00,27
26-01-06 17:00,36
26-01-06 16:00,42
26-01-06 15:00,43
26-01-06 14:00,22
26-01-06 13:00,26
26-01-06 12:00,23
26-01-06 11:00,15
26-01-06 10:00,10
26-01-06 09:00,8
26-01-06 08:00,6
26-01-06 07:00,7
26-01-06 06:00,6
26-01-06 05:00,6
26-01-06 04:00,7
26-01-06 03:00,8
26-01-06 02:00,9
26-01-06 01:00,9
26-01-06 00:00,10
25-01-06 23:00,10
25-01-06 22:00,12
25-01-06 21:00,13
25-01-06 20:00,15
25-01-06 19:00,19
25-01-06 18:00,25
25-01-06 17:00,30
25-01-06 16:00,37
25-01-06 15:00,43
25-01-06 14:00,49
25-01-06 13:00,51
25-01-06 12:00,43
25-01-06 11:00,29
25-01-06 10:00,22
25-01-06 09:00,16
25-01-06 08:00,15
25-01-06 07:00,20
25-01-06 06:00,14
25-01-06 05:00,14
25-01-06 04:00,18
25-01-06 03:00,18
25-01-06 02:00,16
25-01-06 01:00,7
25-01-06 00:00,10
24-01-06 23:00,10
24-01-06 22:00,13
24-01-06 21:00,15
24-01-06 20:00,11
24-01-06 19:00,9
24-01-06 18:00,9
24-01-06 17:00,12
24-01-06 16:00,18
24-01-06 15:00,27
24-01-06 14:00,30
24-01-06 13:00,28
24-01-06 12:00,27
24-01-06 11:00,19
24-01-06 10:00,14
24-01-06 09:00,10
24-01-06 08:00,10
24-01-06 07:00,10
24-01-06 06:00,7
24-01-06 05:00,8
24-01-06 04:00,9
24-01-06 03:00,8
24-01-06 02:00,9
24-01-06 01:00,10
24-01-06 00:00,9
23-01-06 23:00,9
23-01-06 22:00,9
23-01-06 21:00,9
23-01-06 20:00,9
23-01-06 19:00,9
23-01-06 18:00,12
23-01-06 17:00,23
23-01-06 16:00,33
23-01-06 15:00,37
23-01-06 14:00,39
23-01-06 13:00,38
23-01-06 12:00,33
23-01-06 11:00,31
23-01-06 10:00,24
23-01-06 09:00,20
23-01-06 08:00,21
23-01-06 07:00,25
23-01-06 06:00,31
23-01-06 05:00,32
23-01-06 04:00,36
23-01-06 03:00,36
23-01-06 02:00,37
23-01-06 01:00,39
