Datum Zeit,Chemnitz-Leipziger Str. PM10
,µg/m³
31-03-14,75
30-03-14,57
29-03-14,55
28-03-14,49
27-03-14,32
26-03-14,31
25-03-14,32
24-03-14,24
23-03-14,13
22-03-14,18
21-03-14,24
20-03-14,23
19-03-14,17
18-03-14,40
17-03-14,23
16-03-14,12
15-03-14,34
14-03-14,76
13-03-14,68
12-03-14,60
11-03-14,69
10-03-14,70
09-03-14,57
08-03-14,75
07-03-14,75
06-03-14,81
05-03-14,68
04-03-14,51
03-03-14,53
02-03-14,51
01-03-14,44

