Datum Zeit,Klingenthal PM10
,µg/m³
31-03-14,38
30-03-14,32
29-03-14,35
28-03-14,23
27-03-14,18
26-03-14,18
25-03-14,15
24-03-14,11
23-03-14,5
22-03-14,9
21-03-14,16
20-03-14,11
19-03-14,11
18-03-14,25
17-03-14,20
16-03-14,9
15-03-14,27
14-03-14,41
13-03-14,31
12-03-14,42
11-03-14,43
10-03-14,37
09-03-14,30
08-03-14,45
07-03-14,42
06-03-14,39
05-03-14,31
04-03-14,28
03-03-14,30
02-03-14,29
01-03-14,26

