Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-03-14,39.01
30-03-14,31.09
29-03-14,37.72
28-03-14,30.62
27-03-14,21.26
26-03-14,19.25
25-03-14,17.26
24-03-14,14.33
23-03-14,7.86
22-03-14,8.03
21-03-14,9.67
20-03-14,8.48
19-03-14,8.47
18-03-14,21.07
17-03-14,12.33
16-03-14,5.21
15-03-14,18.86
14-03-14,35.07
13-03-14,30.79
12-03-14,36.37
11-03-14,35.65
10-03-14,37.00
09-03-14,34.30
08-03-14,62.20
07-03-14,45.94
06-03-14,51.35
05-03-14,39.06
04-03-14,27.73
03-03-14,30.91
02-03-14,33.49
01-03-14,28.84

