Datum Zeit,Collmberg PM2.5
,µg/m³
31-03-14,42.47
30-03-14,39.84
29-03-14,30.58
28-03-14,22.59
27-03-14,20.59
26-03-14,15.73
25-03-14,7.42
24-03-14,12.23
23-03-14,9.25
22-03-14,7.80
21-03-14,8.54
20-03-14,7.29
19-03-14,9.75
18-03-14,25.96
17-03-14,11.43
16-03-14,5.60
15-03-14,18.17
14-03-14,44.48
13-03-14,33.06
12-03-14,20.08
11-03-14,39.68
10-03-14,43.98
09-03-14,43.54
08-03-14,50.81
07-03-14,49.55
06-03-14,46.44
05-03-14,39.77
04-03-14,27.42
03-03-14,31.76
02-03-14,33.40
01-03-14,28.07

