Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-03-14,49.09
30-03-14,41.95
29-03-14,35.84
28-03-14,32.74
27-03-14,20.44
26-03-14,17.00
25-03-14,11.30
24-03-14,13.96
23-03-14,10.02
22-03-14,9.20
21-03-14,9.79
20-03-14,7.91
19-03-14,9.94
18-03-14,27.09
17-03-14,12.58
16-03-14,7.33
15-03-14,18.17
14-03-14,46.80
13-03-14,34.89
12-03-14,18.22
11-03-14,49.89
10-03-14,41.34
09-03-14,46.38
08-03-14,47.47
07-03-14,38.59
06-03-14,55.31
05-03-14,41.02
04-03-14,36.65
03-03-14,27.47
02-03-14,27.73
01-03-14,24.48

