Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-03-14,38.58
30-03-14,32.02
29-03-14,33.85
28-03-14,30.27
27-03-14,22.38
26-03-14,13.71
25-03-14,12.26
24-03-14,12.33
23-03-14,7.93
22-03-14,11.30
21-03-14,10.11
20-03-14,8.96
19-03-14,11.75
18-03-14,25.78
17-03-14,11.73
16-03-14,6.18
15-03-14,18.32
14-03-14,43.50
13-03-14,33.80
12-03-14,37.54
11-03-14,37.86
10-03-14,35.17
09-03-14,46.19
08-03-14,50.20
07-03-14,48.39
06-03-14,62.84
05-03-14,40.35
04-03-14,26.37
03-03-14,27.34
02-03-14,33.26
01-03-14,32.49

