Datum Zeit,Leipzig-Luetzner Straße PM10
,µg/m³
31-03-17,
30-03-17,
29-03-17,
28-03-17,
27-03-17,
26-03-17,
25-03-17,
24-03-17,
23-03-17,
22-03-17,
21-03-17,
20-03-17,
19-03-17,11
18-03-17,12
17-03-17,50
16-03-17,
15-03-17,38
14-03-17,45
13-03-17,45
12-03-17,26
11-03-17,35
10-03-17,20
09-03-17,18
08-03-17,29
07-03-17,18
06-03-17,12
05-03-17,10
04-03-17,23
03-03-17,23
02-03-17,14
01-03-17,9

