Datum Zeit,Goerlitz PM10
,µg/m³
31-03-17,
30-03-17,
29-03-17,
28-03-17,
27-03-17,
26-03-17,
25-03-17,
24-03-17,
23-03-17,
22-03-17,
21-03-17,
20-03-17,
19-03-17,9
18-03-17,7
17-03-17,33
16-03-17,33
15-03-17,33
14-03-17,49
13-03-17,50
12-03-17,30
11-03-17,24
10-03-17,9
09-03-17,15
08-03-17,23
07-03-17,11
06-03-17,15
05-03-17,13
04-03-17,20
03-03-17,15
02-03-17,9
01-03-17,10

