Datum Zeit,Goerlitz PM10
,µg/m³
29-02-04,52
28-02-04,53
27-02-04,44
26-02-04,47
25-02-04,44
24-02-04,29
23-02-04,32
22-02-04,49
21-02-04,36
20-02-04,30
19-02-04,15
18-02-04,19
17-02-04,
16-02-04,26
15-02-04,27
14-02-04,25
13-02-04,25
12-02-04,18
11-02-04,10
10-02-04,16
09-02-04,8
08-02-04,7
07-02-04,14
06-02-04,34
05-02-04,28
04-02-04,23
03-02-04,20
02-02-04,14
01-02-04,13

