Datum Zeit,Schwartenberg PM2.5
,µg/m³
29-02-04,
28-02-04,17.42
27-02-04,
26-02-04,11.79
25-02-04,
24-02-04,8.57
23-02-04,
22-02-04,28.88
21-02-04,
20-02-04,15.11
19-02-04,
18-02-04,2.37
17-02-04,
16-02-04,8.24
15-02-04,
14-02-04,3.24
13-02-04,
12-02-04,16.61
11-02-04,
10-02-04,4.25
09-02-04,
08-02-04,2.75
07-02-04,
06-02-04,11.71
05-02-04,
04-02-04,6.72
03-02-04,
02-02-04,3.69
01-02-04,

