Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-09-13,13.38
29-09-13,9.82
28-09-13,11.98
27-09-13,13.47
26-09-13,20.11
25-09-13,10.49
24-09-13,8.47
23-09-13,9.31
22-09-13,11.35
21-09-13,12.61
20-09-13,10.97
19-09-13,10.64
18-09-13,8.00
17-09-13,9.92
16-09-13,7.57
15-09-13,7.58
14-09-13,12.29
13-09-13,18.35
12-09-13,13.88
11-09-13,8.25
10-09-13,8.32
09-09-13,7.49
08-09-13,16.51
07-09-13,15.32
06-09-13,16.74
05-09-13,12.14
04-09-13,11.83
03-09-13,10.84
02-09-13,11.22
01-09-13,5.23

