Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-09-13,9.83
29-09-13,6.62
28-09-13,10.66
27-09-13,12.16
26-09-13,19.03
25-09-13,14.06
24-09-13,11.45
23-09-13,8.37
22-09-13,9.86
21-09-13,13.15
20-09-13,9.55
19-09-13,9.22
18-09-13,7.65
17-09-13,8.71
16-09-13,6.66
15-09-13,4.33
14-09-13,9.48
13-09-13,16.45
12-09-13,12.18
11-09-13,7.26
10-09-13,7.25
09-09-13,6.37
08-09-13,14.82
07-09-13,14.44
06-09-13,16.14
05-09-13,12.07
04-09-13,14.61
03-09-13,11.04
02-09-13,11.30
01-09-13,4.85

