Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-09-13,10.08
29-09-13,9.39
28-09-13,18.05
27-09-13,10.26
26-09-13,14.27
25-09-13,13.64
24-09-13,7.88
23-09-13,5.73
22-09-13,6.22
21-09-13,7.88
20-09-13,3.57
19-09-13,5.70
18-09-13,4.79
17-09-13,4.91
16-09-13,4.51
15-09-13,2.99
14-09-13,5.67
13-09-13,8.55
12-09-13,5.88
11-09-13,3.97
10-09-13,6.33
09-09-13,5.71
08-09-13,14.79
07-09-13,14.66
06-09-13,16.41
05-09-13,10.19
04-09-13,10.64
03-09-13,7.11
02-09-13,7.49
01-09-13,4.07

