Datum Zeit,Zwickau-Werdauer Straße PM2.5
,µg/m³
30-09-13,
29-09-13,
28-09-13,
27-09-13,
26-09-13,
25-09-13,
24-09-13,
23-09-13,
22-09-13,
21-09-13,
20-09-13,
19-09-13,
18-09-13,
17-09-13,
16-09-13,
15-09-13,
14-09-13,
13-09-13,
12-09-13,
11-09-13,
10-09-13,
09-09-13,
08-09-13,
07-09-13,
06-09-13,
05-09-13,
04-09-13,
03-09-13,
02-09-13,
01-09-13,

