Datum Zeit,Leipzig-Luetzner Straße PM10
,µg/m³
30-09-13,24
29-09-13,16
28-09-13,26
27-09-13,29
26-09-13,29
25-09-13,22
24-09-13,19
23-09-13,17
22-09-13,17
21-09-13,20
20-09-13,15
19-09-13,18
18-09-13,13
17-09-13,15
16-09-13,14
15-09-13,9
14-09-13,18
13-09-13,24
12-09-13,21
11-09-13,12
10-09-13,15
09-09-13,10
08-09-13,23
07-09-13,29
06-09-13,27
05-09-13,22
04-09-13,28
03-09-13,19
02-09-13,21
01-09-13,16

