Datum Zeit,Radebeul-Wahnsdorf PM10
,µg/m³
30-09-03,11
29-09-03,14
28-09-03,22
27-09-03,25
26-09-03,22
25-09-03,15
24-09-03,10
23-09-03,15
22-09-03,36
21-09-03,29
20-09-03,28
19-09-03,30
18-09-03,32
17-09-03,38
16-09-03,31
15-09-03,30
14-09-03,20
13-09-03,12
12-09-03,15
11-09-03,6
10-09-03,20
09-09-03,15
08-09-03,24
07-09-03,19
06-09-03,15
05-09-03,14
04-09-03,11
03-09-03,11
02-09-03,7
01-09-03,7

