Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-09-03,13.07
29-09-03,17.64
28-09-03,20.99
27-09-03,23.01
26-09-03,16.92
25-09-03,10.99
24-09-03,11.29
23-09-03,19.86
22-09-03,28.17
21-09-03,26.72
20-09-03,28.40
19-09-03,29.15
18-09-03,26.19
17-09-03,28.32
16-09-03,29.40
15-09-03,24.53
14-09-03,17.03
13-09-03,11.60
12-09-03,16.89
11-09-03,10.25
10-09-03,21.31
09-09-03,15.89
08-09-03,20.42
07-09-03,18.67
06-09-03,14.76
05-09-03,15.32
04-09-03,11.60
03-09-03,10.92
02-09-03,10.24
01-09-03,16.18

