Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-01-01,,,,,,5.25,,
2018-01-01,01:00,,1,2,62,,6,
2018-01-01,02:00,,1,2,63,,10,
2018-01-01,03:00,,1,3,62,,9,
2018-01-01,04:00,,1,3,60,,8,
2018-01-01,05:00,,1,3,58,,7,
2018-01-01,06:00,,1,3,60,,8,
2018-01-01,07:00,,1,2,66,,8,
2018-01-01,08:00,,1,2,72,,5,
2018-01-01,09:00,,1,1,78,,6,
2018-01-01,10:00,,1,1,77,,4,
2018-01-01,11:00,,1,1,80,,2,
2018-01-01,12:00,,1,1,78,,1,
2018-01-01,13:00,,1,1,78,,1,
2018-01-01,14:00,,1,2,78,,2,
2018-01-01,15:00,,1,2,77,,0,
2018-01-01,16:00,,1,2,74,,1,
2018-01-01,17:00,,1,2,73,,1,
2018-01-01,18:00,,1,3,70,,3,
2018-01-01,19:00,,1,4,68,,4,
2018-01-01,20:00,,1,5,64,,4,
2018-01-01,21:00,,1,5,63,,6,
2018-01-01,22:00,,1,7,57,,4,
2018-01-01,23:00,,1,5,59,,5,
2018-01-02,,,,,,3.32,,
2018-01-02,00:00,,1,3,62,,3,
2018-01-02,01:00,,1,3,63,,3,
2018-01-02,02:00,,1,2,66,,2,
2018-01-02,03:00,,1,2,63,,2,
2018-01-02,04:00,,1,3,58,,1,
2018-01-02,05:00,,1,3,58,,0,
2018-01-02,06:00,,1,3,55,,1,
2018-01-02,07:00,,1,5,53,,1,
2018-01-02,08:00,,1,4,51,,0,
2018-01-02,09:00,,1,6,49,,0,
2018-01-02,10:00,,1,7,45,,1,
2018-01-02,11:00,,1,7,44,,2,
2018-01-02,12:00,,1,9,47,,2,
2018-01-02,13:00,,1,8,54,,2,
2018-01-02,14:00,,1,8,56,,2,
2018-01-02,15:00,,1,8,55,,3,
2018-01-02,16:00,,1,8,55,,4,
2018-01-02,17:00,,1,7,54,,4,
2018-01-02,18:00,,1,8,53,,5,
2018-01-02,19:00,,1,9,50,,5,
2018-01-02,20:00,,1,9,48,,5,
2018-01-02,21:00,,1,9,51,,3,
2018-01-02,22:00,,1,7,53,,4,
2018-01-02,23:00,,1,7,51,,4,
2018-01-03,00:00,,1,5,53,,3,
2018-01-03,01:00,,1,5,54,,3,
2018-01-03,02:00,,1,4,56,,4,
2018-01-03,03:00,,1,4,55,,7,
2018-01-03,04:00,,1,4,55,,6,
2018-01-03,05:00,,1,3,61,,5,
2018-01-03,06:00,,1,3,61,,3,
2018-01-03,07:00,,1,4,58,,3,
2018-01-03,08:00,,1,5,56,,6,
2018-01-03,09:00,,1,5,56,,6,
2018-01-03,10:00,,1,5,56,,1,
2018-01-03,11:00,,1,4,59,,4,
2018-01-03,12:00,,1,4,64,,,
2018-01-03,13:00,,1,4,59,,,
2018-01-03,14:00,,1,3,70,,,
2018-01-03,15:00,,1,5,69,,4,
2018-01-03,16:00,,1,5,68,,4,
2018-01-03,17:00,,1,5,69,,4,
2018-01-03,18:00,,1,4,69,,4,
2018-01-03,19:00,,1,4,69,,2,
2018-01-03,20:00,,1,4,70,,5,
2018-01-03,21:00,,1,4,68,,7,
2018-01-03,22:00,,1,5,68,,5,
2018-01-03,23:00,,1,5,68,,4,
2018-01-04,00:00,,1,5,66,,5,
2018-01-04,01:00,,1,4,68,,3,
2018-01-04,02:00,,1,3,70,,4,
2018-01-04,03:00,,1,3,69,,5,
2018-01-04,04:00,,1,4,67,,5,
2018-01-04,05:00,,1,4,66,,4,
2018-01-04,06:00,,1,4,67,,6,
2018-01-04,07:00,,1,3,68,,9,
2018-01-04,08:00,,1,3,69,,9,
2018-01-04,09:00,,1,4,67,,8,
2018-01-04,10:00,,1,4,64,,9,
2018-01-04,11:00,,1,5,63,,9,
2018-01-04,12:00,,1,4,65,,8,
2018-01-04,13:00,,1,4,64,,8,
2018-01-04,14:00,,1,4,65,,9,
2018-01-04,15:00,,1,4,64,,11,
2018-01-04,16:00,,1,4,63,,11,
2018-01-04,17:00,,1,6,61,,13,
2018-01-04,18:00,,1,7,60,,11,
2018-01-04,19:00,,1,7,58,,10,
2018-01-04,20:00,,1,7,55,,6,
2018-01-04,21:00,,1,8,50,,5,
2018-01-04,22:00,,1,6,50,,5,
2018-01-04,23:00,,1,6,48,,3,
2018-01-05,00:00,,1,5,49,,3,
2018-01-05,01:00,,1,5,55,,5,
2018-01-05,02:00,,1,5,55,,8,
2018-01-05,03:00,,1,4,63,,9,
2018-01-05,04:00,,1,3,71,,10,
2018-01-05,05:00,,1,3,72,,9,
2018-01-05,06:00,,1,3,72,,11,
2018-01-05,07:00,,1,3,69,,10,
2018-01-05,08:00,,1,2,71,,9,
2018-01-05,09:00,,1,2,73,,10,
2018-01-05,10:00,,1,3,70,,9,
2018-01-05,11:00,,1,3,69,,8,
2018-01-05,12:00,,1,4,66,,8,
2018-01-05,13:00,,1,4,66,,9,
2018-01-05,14:00,,1,4,67,,6,
2018-01-05,15:00,,1,5,67,,3,
2018-01-05,16:00,,1,6,65,,3,
2018-01-05,17:00,,1,5,67,,4,
2018-01-05,18:00,,1,6,63,,2,
2018-01-05,19:00,,1,5,66,,2,
2018-01-05,20:00,,1,4,74,,4,
2018-01-05,21:00,,1,3,75,,3,
2018-01-05,22:00,,1,3,78,,2,
2018-01-05,23:00,,1,4,75,,4,
2018-01-06,00:00,,1,3,75,,4,
2018-01-06,01:00,,1,3,69,,3,
2018-01-06,02:00,,1,3,66,,2,
2018-01-06,03:00,,1,3,62,,3,
2018-01-06,04:00,,1,3,60,,4,
2018-01-06,05:00,,1,4,59,,5,
2018-01-06,06:00,,1,4,58,,6,
2018-01-06,07:00,,1,3,59,,7,
2018-01-06,08:00,,1,3,59,,6,
2018-01-06,09:00,,1,5,56,,6,
2018-01-06,10:00,,1,7,55,,5,
2018-01-06,11:00,,1,7,56,,7,
2018-01-06,12:00,,1,8,54,,6,
2018-01-06,13:00,,1,5,62,,6,
2018-01-06,14:00,,1,7,57,,7,
2018-01-06,15:00,,1,7,53,,8,
2018-01-06,16:00,,1,6,56,,7,
2018-01-06,17:00,,1,7,54,,7,
2018-01-06,18:00,,1,12,50,,9,
2018-01-06,19:00,,1,15,39,,14,
2018-01-06,20:00,,1,15,36,,14,
2018-01-06,21:00,,1,9,52,,15,
2018-01-06,22:00,,1,15,37,,12,
2018-01-06,23:00,,1,6,50,,12,
2018-01-07,00:00,,1,5,46,,9,
2018-01-07,01:00,,1,5,43,,12,
2018-01-07,02:00,,1,5,44,,12,
2018-01-07,03:00,,1,5,42,,10,
2018-01-07,04:00,,1,8,38,,8,
2018-01-07,05:00,,1,8,35,,6,
2018-01-07,06:00,,1,4,34,,5,
2018-01-07,07:00,,1,4,31,,4,
2018-01-07,08:00,,1,5,28,,5,
2018-01-07,09:00,,1,4,27,,2,
2018-01-07,10:00,,1,3,27,,2,
2018-01-07,11:00,,1,3,27,,3,
2018-01-07,12:00,,1,3,26,,2,
2018-01-07,13:00,,1,3,26,,3,
2018-01-07,14:00,,1,3,25,,4,
2018-01-07,15:00,,1,4,24,,4,
2018-01-07,16:00,,1,4,24,,4,
2018-01-07,17:00,,1,4,25,,5,
2018-01-07,18:00,,1,4,25,,6,
2018-01-07,19:00,,1,4,28,,6,
2018-01-07,20:00,,1,6,29,,10,
2018-01-07,21:00,,1,7,32,,12,
2018-01-07,22:00,,1,5,36,,12,
2018-01-07,23:00,,1,5,39,,11,
2018-01-08,00:00,,1,5,39,,13,
2018-01-08,01:00,,1,5,40,,13,
2018-01-08,02:00,,1,5,40,,13,
2018-01-08,03:00,,1,8,37,,16,
2018-01-08,04:00,,1,9,37,,17,
2018-01-08,05:00,,1,7,36,,18,
2018-01-08,06:00,,1,8,36,,18,
2018-01-08,07:00,,1,8,37,,19,
2018-01-08,08:00,,1,10,35,,19,
2018-01-08,09:00,,1,11,32,,19,
2018-01-08,10:00,,1,10,32,,19,
2018-01-08,11:00,,1,12,30,,20,
2018-01-08,12:00,,2,11,30,,21,
2018-01-08,13:00,,2,10,33,,20,
2018-01-08,14:00,,2,8,36,,19,
2018-01-08,15:00,,2,11,36,,18,
2018-01-08,16:00,,1,11,36,,17,
2018-01-08,17:00,,1,11,36,,15,
2018-01-08,18:00,,1,12,34,,12,
2018-01-08,19:00,,1,11,34,,14,
2018-01-08,20:00,,1,13,32,,16,
2018-01-08,21:00,,1,13,31,,19,
2018-01-08,22:00,,1,13,30,,21,
2018-01-08,23:00,,1,14,30,,21,
2018-01-09,00:00,,1,13,32,,22,
2018-01-09,01:00,,1,12,32,,21,
