Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-05-16,7.79
30-05-16,8.67
29-05-16,12.82
28-05-16,12.23
27-05-16,13.40
26-05-16,13.98
25-05-16,16.41
24-05-16,10.65
23-05-16,9.24
22-05-16,9.71
21-05-16,10.28
20-05-16,9.70
19-05-16,11.28
18-05-16,11.88
17-05-16,7.81
16-05-16,4.33
15-05-16,4.00
14-05-16,7.74
13-05-16,12.61
12-05-16,12.21
11-05-16,11.38
10-05-16,8.53
09-05-16,8.70
08-05-16,9.51
07-05-16,10.99
06-05-16,11.96
05-05-16,10.46
04-05-16,7.55
03-05-16,10.53
02-05-16,13.64
01-05-16,42.71

