Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-05-16,7.02
30-05-16,8.59
29-05-16,11.99
28-05-16,11.11
27-05-16,11.74
26-05-16,12.73
25-05-16,12.66
24-05-16,9.28
23-05-16,8.05
22-05-16,9.39
21-05-16,9.31
20-05-16,8.70
19-05-16,9.23
18-05-16,10.24
17-05-16,6.85
16-05-16,3.48
15-05-16,3.69
14-05-16,7.86
13-05-16,10.68
12-05-16,12.47
11-05-16,12.39
10-05-16,9.14
09-05-16,8.54
08-05-16,9.15
07-05-16,10.73
06-05-16,11.93
05-05-16,9.45
04-05-16,6.16
03-05-16,10.83
02-05-16,13.18
01-05-16,36.64

