Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-05-16,8.30
30-05-16,9.14
29-05-16,16.88
28-05-16,16.66
27-05-16,24.85
26-05-16,21.44
25-05-16,17.68
24-05-16,10.88
23-05-16,9.07
22-05-16,9.50
21-05-16,10.36
20-05-16,10.88
19-05-16,13.50
18-05-16,13.73
17-05-16,11.92
16-05-16,5.04
15-05-16,4.76
14-05-16,10.28
13-05-16,13.97
12-05-16,14.67
11-05-16,15.65
10-05-16,11.69
09-05-16,10.30
08-05-16,11.29
07-05-16,13.10
06-05-16,13.66
05-05-16,11.29
04-05-16,8.49
03-05-16,16.29
02-05-16,14.47
01-05-16,16.90

